,index,mechanism,action,drugA,drugB
708,708,The serum concentration,increase,Methotrexate,Cyclosporine
709,709,The serum concentration,increase,Methylprednisolone,Cyclosporine
710,710,an increase in the absorption resulting in an increased serum concentration and potentially a worsening of adverse effects,cause,Metoclopramide,Cyclosporine
711,711,The serum concentration,increase,Cyclosporine,Mifepristone
712,712,The serum concentration,increase,Mitoxantrone,Cyclosporine
714,714,The serum concentration,decrease,Cyclosporine,Modafinil
718,718,The serum concentration,increase,Cyclosporine,Esomeprazole
740,740,the antihypertensive activities,decrease,Cyclosporine,Amlodipine
745,745,The metabolism,decrease,Cyclosporine,Ivacaftor
751,751,The therapeutic efficacy,increase,Doxacurium,Cyclosporine
752,752,The therapeutic efficacy,increase,Decamethonium,Cyclosporine
757,757,The risk or severity of hypertension,increase,Cyclosporine,Midodrine
761,761,The risk or severity of hypertension,increase,Cyclosporine,Guanabenz
762,762,The risk or severity of hypertension,increase,Cyclosporine,Isoflurane
765,765,The risk or severity of hypertension,increase,Cyclosporine,Naratriptan
766,766,The risk or severity of hypertension,increase,Cyclosporine,Frovatriptan
769,769,The risk or severity of hypertension,increase,Cyclosporine,Clenbuterol
770,770,The risk or severity of hypertension,increase,Cyclosporine,Bambuterol
777,777,The risk or severity of hypertension,increase,Cyclosporine,Asenapine
780,780,The risk or severity of hypertension,increase,Cyclosporine,Halothane
785,785,The metabolism,decrease,Cilostazol,Cyclosporine
786,786,The metabolism,decrease,Cyclosporine,Fentanyl
790,790,The metabolism,decrease,Eszopiclone,Cyclosporine
792,792,The metabolism,decrease,Alfuzosin,Cyclosporine
799,799,The serum concentration,increase,Acenocoumarol,Cyclosporine
800,800,The serum concentration,increase,Midazolam,Cyclosporine
802,802,The serum concentration,increase,Doxorubicin,Cyclosporine
803,803,The risk or severity of renal failure,increase,Cyclosporine,Clofibrate
804,804,The risk or severity of renal failure,increase,Cyclosporine,Fenofibrate
805,805,The risk or severity of renal failure,increase,Cyclosporine,Gemfibrozil
806,806,The risk or severity of renal failure,increase,Cyclosporine,Bezafibrate
814,814,The risk or severity of hyperkalemia,increase,Losartan,Cyclosporine
817,817,The risk or severity of hyperkalemia,increase,Irbesartan,Cyclosporine
820,820,The metabolism,decrease,Cyclosporine,Erythromycin
821,821,The metabolism,decrease,Cyclosporine,Azithromycin
822,822,The metabolism,decrease,Cyclosporine,Clarithromycin
842,842,The risk or severity of renal failure,increase,Cyclosporine,Bumetanide
846,846,The risk or severity of renal failure,increase,Bendroflumethiazide,Cyclosporine
850,850,The risk or severity of renal failure,increase,Indapamide,Cyclosporine
855,855,The risk or severity of renal failure,increase,Diazoxide,Cyclosporine
862,862,The risk or severity of hyperkalemia,increase,Amiloride,Cyclosporine
863,863,The risk or severity of hyperkalemia,increase,Eplerenone,Cyclosporine
865,865,The risk or severity of nephrotoxicity,increase,Cyclosporine,Cefazolin
869,869,The risk or severity of liver damage,increase,Danazol,Cyclosporine
873,873,The risk or severity of liver damage,increase,Methyltestosterone,Cyclosporine
877,877,The metabolism,decrease,Codeine,Cyclosporine
879,879,The metabolism,decrease,Imipramine,Cyclosporine
882,882,The metabolism,decrease,Desipramine,Cyclosporine
883,883,The metabolism,decrease,Clomipramine,Cyclosporine
887,887,The metabolism,decrease,Cyclosporine,Dextromethorphan
888,888,The metabolism,decrease,Cyclosporine,Nateglinide
891,891,The metabolism,decrease,Cyclosporine,Chlorpheniramine
892,892,The metabolism,decrease,Cyclosporine,Domperidone
895,895,The metabolism,decrease,Cyclosporine,Deutetrabenazine
896,896,The metabolism,decrease,Cyclosporine,Fluvoxamine
897,897,The metabolism,decrease,Cyclosporine,Lidocaine
899,899,The metabolism,decrease,Cyclosporine,Acetaminophen
900,900,The metabolism,decrease,Cyclosporine,Gefitinib
901,901,The metabolism,decrease,Cyclosporine,Methadone
903,903,The metabolism,decrease,Cyclosporine,Diltiazem
905,905,The metabolism,decrease,Cyclosporine,Fluoxetine
907,907,The metabolism,decrease,Cyclosporine,Chlorpromazine
908,908,The metabolism,decrease,Cyclosporine,Buspirone
909,909,The metabolism,decrease,Cyclosporine,Amoxapine
910,910,The metabolism,decrease,Cyclosporine,Doxazosin
911,911,The metabolism,decrease,Cyclosporine,Astemizole
913,913,The metabolism,decrease,Cyclosporine,Loperamide
914,914,The metabolism,decrease,Cyclosporine,Buprenorphine
916,916,The metabolism,decrease,Cyclosporine,Azelastine
922,922,The metabolism,decrease,Cyclosporine,Bepridil
924,924,The metabolism,decrease,Cyclosporine,Mirabegron
925,925,The metabolism,decrease,Cyclosporine,Netupitant
930,930,The metabolism,decrease,Eletriptan,Cyclosporine
932,932,The metabolism,decrease,Darifenacin,Cyclosporine
934,934,The metabolism,decrease,Clonidine,Cyclosporine
936,936,The metabolism,decrease,Doxepin,Cyclosporine
938,938,The metabolism,decrease,Cyclosporine,Clozapine
943,943,The metabolism,decrease,Cyclosporine,Clevidipine
944,944,The metabolism,decrease,Cyclosporine,Nefazodone
946,946,The metabolism,decrease,Citalopram,Cyclosporine
948,948,The metabolism,decrease,Acebutolol,Cyclosporine
949,949,The metabolism,decrease,Debrisoquine,Cyclosporine
950,950,The metabolism,decrease,Celiprolol,Cyclosporine
953,953,The metabolism,decrease,Amphetamine,Cyclosporine
954,954,The metabolism,decrease,Labetalol,Cyclosporine
955,955,The metabolism,decrease,Maprotiline,Cyclosporine
964,964,The metabolism,decrease,Diphenhydramine,Cyclosporine
965,965,The metabolism,decrease,Moclobemide,Cyclosporine
969,969,The metabolism,decrease,Betaxolol,Cyclosporine
976,976,The metabolism,decrease,Meclizine,Cyclosporine
977,977,The metabolism,decrease,Minaprine,Cyclosporine
978,978,The metabolism,decrease,Alprenolol,Cyclosporine
980,980,The metabolism,decrease,Mesoridazine,Cyclosporine
981,981,The metabolism,decrease,Mequitazine,Cyclosporine
983,983,The metabolism,decrease,Dexfenfluramine,Cyclosporine
984,984,The metabolism,decrease,Flecainide,Cyclosporine
985,985,The metabolism,decrease,Encainide,Cyclosporine
989,989,The metabolism,decrease,Methotrimeprazine,Cyclosporine
990,990,The metabolism,decrease,Aprindine,Cyclosporine
992,992,The metabolism,decrease,Dextroamphetamine,Cyclosporine
1006,1006,The metabolism,decrease,Cyclosporine,Cevimeline
1008,1008,The metabolism,decrease,Cyclosporine,Metoprolol
1009,1009,The metabolism,decrease,Cyclosporine,Bupivacaine
1010,1010,The metabolism,decrease,Cyclosporine,Chlorzoxazone
1013,1013,The metabolism,decrease,Cyclosporine,Mexiletine
1016,1016,The metabolism,decrease,Cyclosporine,Cinnarizine
1017,1017,The metabolism,decrease,Cyclosporine,Lisuride
1018,1018,The metabolism,decrease,Cyclosporine,Dextropropoxyphene
1020,1020,The metabolism,decrease,Cyclosporine,Galantamine
1023,1023,The metabolism,decrease,Cyclosporine,Dolasetron
1024,1024,The metabolism,decrease,Cyclosporine,Donepezil
1026,1026,The metabolism,decrease,Cyclosporine,Almotriptan
1027,1027,The metabolism,decrease,Cyclosporine,Methoxyflurane
1033,1033,The metabolism,decrease,Cyclosporine,Ethylmorphine
1040,1040,The metabolism,decrease,Cyclosporine,Flunarizine
1041,1041,The metabolism,decrease,Cyclosporine,Nebivolol
1042,1042,The metabolism,decrease,Cyclosporine,Lorcaserin
1047,1047,The metabolism,decrease,Cyclosporine,Mianserin
1048,1048,The metabolism,decrease,Cyclosporine,Alogliptin
1049,1049,The metabolism,decrease,Cyclosporine,Dapagliflozin
1065,1065,The metabolism,decrease,Hydrocodone,Cyclosporine
1068,1068,The risk or severity of hyperkalemia,increase,Cyclosporine,Benazepril
1081,1081,The risk or severity of hyperkalemia,increase,Cyclosporine,Aranidipine
1082,1082,The risk or severity of hyperkalemia,increase,Cyclosporine,Azelnidipine
1083,1083,The risk or severity of hyperkalemia,increase,Cyclosporine,Cilnidipine
1092,1092,The risk or severity of renal failure and hypertension,increase,Nabumetone,Cyclosporine
1095,1095,The risk or severity of renal failure and hypertension,increase,Celecoxib,Cyclosporine
1101,1101,The risk or severity of renal failure and hypertension,increase,Flurbiprofen,Cyclosporine
1102,1102,The risk or severity of renal failure and hypertension,increase,Etodolac,Cyclosporine
1104,1104,The risk or severity of renal failure and hypertension,increase,Naproxen,Cyclosporine
1106,1106,The risk or severity of renal failure and hypertension,increase,Meloxicam,Cyclosporine
1107,1107,The risk or severity of renal failure and hypertension,increase,Diflunisal,Cyclosporine
1110,1110,The risk or severity of renal failure and hypertension,increase,Ketoprofen,Cyclosporine
1111,1111,The risk or severity of renal failure and hypertension,increase,Balsalazide,Cyclosporine
1112,1112,The risk or severity of renal failure and hypertension,increase,Ibuprofen,Cyclosporine
1113,1113,The risk or severity of renal failure and hypertension,increase,Lumiracoxib,Cyclosporine
1115,1115,The risk or severity of renal failure and hypertension,increase,Etoricoxib,Cyclosporine
1122,1122,The risk or severity of renal failure and hypertension,increase,Lornoxicam,Cyclosporine
1123,1123,The risk or severity of renal failure and hypertension,increase,Aceclofenac,Cyclosporine
1129,1129,The risk or severity of renal failure and hypertension,increase,Morniflumate,Cyclosporine
1134,1134,The serum concentration,decrease,Cyclosporine,Apalutamide
1143,1143,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Abemaciclib
1145,1145,The serum concentration,increase,Bisoprolol,Cyclosporine
1146,1146,The metabolism,decrease,Aripiprazole,Cyclosporine
1153,1153,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Lamotrigine
1157,1157,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Etomidate
1161,1161,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Methylphenidate
1163,1163,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Dexmedetomidine
1165,1165,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Chlorpropamide
1173,1173,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Dobutamine
1175,1175,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Amantadine
1177,1177,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Methyldopa
1178,1178,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Dopamine
1179,1179,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Memantine
1180,1180,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Lubiprostone
1185,1185,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Fomepizole
1187,1187,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Ezogabine
1192,1192,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Nalmefene
1193,1193,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Droxidopa
1207,1207,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Glipizide
1208,1208,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Bromazepam
1211,1211,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Guanfacine
1212,1212,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Macitentan
1213,1213,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Etonogestrel
1214,1214,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Dienogest
1215,1215,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Disopyramide
1219,1219,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Levobupivacaine
1221,1221,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Estazolam
1222,1222,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Levocetirizine
1224,1224,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Blonanserin
1227,1227,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Hydromorphone
1235,1235,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Flurazepam
1236,1236,the excretion rate which could result in a higher serum level,decrease,Cyclosporine,Ceftriaxone
1243,1243,The serum concentration,increase,Cyclosporine,Conivaptan
1244,1244,The serum concentration,increase,Cyclosporine,Itraconazole
1245,1245,The serum concentration,increase,Cyclosporine,Lapatinib
1249,1249,The serum concentration,increase,Cyclosporine,Canagliflozin
1257,1257,The serum concentration,increase,Cyclosporine,Neratinib
1266,1266,The serum concentration,increase,Cyclosporine,Linagliptin
1273,1273,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cyclosporine,Carbimazole
1274,1274,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cyclosporine,Naltrexone
1277,1277,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cyclosporine,Letrozole
1279,1279,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Cyclosporine,Montelukast
1283,1283,The metabolism,increase,Cyclosporine,Midostaurin
1285,1285,The metabolism,increase,Cyclosporine,Mitotane
1288,1288,The metabolism,increase,Cyclosporine,Dabrafenib
1291,1291,The metabolism,increase,Cyclosporine,Felbamate
1293,1293,The metabolism,increase,Cyclosporine,Lenvatinib
1298,1298,The metabolism,increase,Cyclosporine,Calcitriol
1301,1301,The metabolism,increase,Cyclosporine,Aminoglutethimide
1302,1302,The metabolism,increase,Cyclosporine,Cerivastatin
1307,1307,The metabolism,increase,Cyclosporine,Ethanol
1309,1309,The metabolism,increase,Cyclosporine,Metyrapone
1311,1311,The metabolism,increase,Cyclosporine,Ketamine
1326,1326,The metabolism,increase,Cyclosporine,Lansoprazole
1327,1327,The metabolism,increase,Ivermectin,Cyclosporine
1328,1328,The metabolism,decrease,Cyclosporine,Naloxone
1337,1337,The metabolism,decrease,Digitoxin,Cyclosporine
1338,1338,The metabolism,decrease,Isoniazid,Cyclosporine
1345,1345,The metabolism,decrease,Dofetilide,Cyclosporine
1346,1346,The metabolism,decrease,Levothyroxine,Cyclosporine
1348,1348,The metabolism,decrease,Aminophylline,Cyclosporine
1350,1350,The metabolism,decrease,Cyclosporine,Isradipine
1351,1351,The metabolism,decrease,Cyclosporine,Nicardipine
1352,1352,The metabolism,decrease,Cyclosporine,Miconazole
1355,1355,The metabolism,decrease,Abiraterone,Cyclosporine
1357,1357,The metabolism,decrease,Cyclosporine,Cimetidine
1360,1360,The metabolism,decrease,Cyclosporine,Ceritinib
1366,1366,The metabolism,decrease,Cyclosporine,Bicalutamide
1371,1371,The metabolism,decrease,Cyclosporine,Lorazepam
1383,1383,The metabolism,decrease,Cyclosporine,Albendazole
1386,1386,The metabolism,decrease,Aprepitant,Cyclosporine
1392,1392,The metabolism,decrease,Cyclosporine,Gestodene
1396,1396,The metabolism,decrease,Cyclosporine,Flutamide
1397,1397,The metabolism,decrease,Cyclosporine,Clopidogrel
1398,1398,The metabolism,decrease,Cyclosporine,Disulfiram
1400,1400,The metabolism,decrease,Cyclosporine,Dutasteride
1401,1401,The metabolism,decrease,Cyclosporine,Finasteride
1408,1408,The metabolism,decrease,Cyclosporine,Axitinib
1412,1412,The metabolism,decrease,Cyclosporine,Icotinib
1417,1417,The metabolism,decrease,Cisapride,Cyclosporine
1421,1421,The metabolism,decrease,Cyclosporine,Estradiol
1424,1424,The metabolism,decrease,Cyclosporine,Diazepam
1429,1429,The metabolism,decrease,Levonorgestrel,Cyclosporine
1430,1430,The metabolism,decrease,Lercanidipine,Cyclosporine
1432,1432,The metabolism,decrease,Cannabidiol,Cyclosporine
1434,1434,The metabolism,decrease,Nabiximols,Cyclosporine
1435,1435,The metabolism,decrease,Hydroxyzine,Cyclosporine
1442,1442,The metabolism,decrease,Cyclosporine,Alfentanil
1443,1443,The metabolism,decrease,Apomorphine,Cyclosporine
1450,1450,the neurotoxic activities,increase,Cyclosporine,Fluphenazine
1451,1451,the neurotoxic activities,increase,Cyclosporine,Cyclobenzaprine
1456,1456,The therapeutic efficacy,decrease,Clonazepam,Cyclosporine
1457,1457,The therapeutic efficacy,decrease,Gabapentin,Cyclosporine
1463,1463,The therapeutic efficacy,decrease,Methsuximide,Cyclosporine
1464,1464,The therapeutic efficacy,decrease,Brivaracetam,Cyclosporine
1465,1465,The therapeutic efficacy,decrease,Ethosuximide,Cyclosporine
1471,1471,The risk or severity of nephrotoxicity,increase,Enoxacin,Cyclosporine
1476,1476,The risk or severity of nephrotoxicity,increase,Lomefloxacin,Cyclosporine
1487,1487,The serum concentration,increase,Cyclosporine,Ertugliflozin
1490,1490,The serum concentration,increase,Cyclosporine,Morphine
1497,1497,The serum concentration,increase,Diclofenac,Cyclosporine
1498,1498,the immunosuppressive activities,increase,Flunisolide,Cyclosporine
1499,1499,the immunosuppressive activities,increase,Bortezomib,Cyclosporine
1500,1500,the immunosuppressive activities,increase,Cladribine,Cyclosporine
1501,1501,the immunosuppressive activities,increase,Bleomycin,Cyclosporine
1502,1502,the immunosuppressive activities,increase,Bexarotene,Cyclosporine
1504,1504,the immunosuppressive activities,increase,Floxuridine,Cyclosporine
1505,1505,the immunosuppressive activities,increase,Indomethacin,Cyclosporine
1511,1511,the immunosuppressive activities,increase,Gemcitabine,Cyclosporine
1512,1512,the immunosuppressive activities,increase,Betamethasone,Cyclosporine
1514,1514,the immunosuppressive activities,increase,Epirubicin,Cyclosporine
1517,1517,the immunosuppressive activities,increase,Fluorouracil,Cyclosporine
1523,1523,the immunosuppressive activities,increase,Clofarabine,Cyclosporine
1528,1528,the immunosuppressive activities,increase,Daunorubicin,Cyclosporine
1529,1529,the immunosuppressive activities,increase,Hydrocortisone,Cyclosporine
1531,1531,the immunosuppressive activities,increase,Irinotecan,Cyclosporine
1532,1532,the immunosuppressive activities,increase,Methimazole,Cyclosporine
1534,1534,the immunosuppressive activities,increase,Dacarbazine,Cyclosporine
1537,1537,the immunosuppressive activities,increase,Azacitidine,Cyclosporine
1538,1538,the immunosuppressive activities,increase,Cytarabine,Cyclosporine
1539,1539,the immunosuppressive activities,increase,Azathioprine,Cyclosporine
1540,1540,the immunosuppressive activities,increase,Hydroxyurea,Cyclosporine
1543,1543,the immunosuppressive activities,increase,Mercaptopurine,Cyclosporine
1545,1545,the immunosuppressive activities,increase,Leflunomide,Cyclosporine
1546,1546,the immunosuppressive activities,increase,Capecitabine,Cyclosporine
1550,1550,the immunosuppressive activities,increase,Idarubicin,Cyclosporine
1551,1551,the immunosuppressive activities,increase,Ifosfamide,Cyclosporine
1552,1552,the immunosuppressive activities,increase,Estramustine,Cyclosporine
1553,1553,the immunosuppressive activities,increase,Lomustine,Cyclosporine
1554,1554,the immunosuppressive activities,increase,Budesonide,Cyclosporine
1556,1556,the immunosuppressive activities,increase,Dexamethasone,Cyclosporine
1557,1557,the immunosuppressive activities,increase,Docetaxel,Cyclosporine
1558,1558,the immunosuppressive activities,increase,Dasatinib,Cyclosporine
1559,1559,the immunosuppressive activities,increase,Decitabine,Cyclosporine
1561,1561,the immunosuppressive activities,increase,Nelarabine,Cyclosporine
1564,1564,the immunosuppressive activities,increase,Colchicine,Cyclosporine
1566,1566,the immunosuppressive activities,increase,Hydroxychloroquine,Cyclosporine
1568,1568,the immunosuppressive activities,increase,Ixabepilone,Cyclosporine
1572,1572,the immunosuppressive activities,increase,Apremilast,Cyclosporine
1577,1577,the immunosuppressive activities,increase,Cabazitaxel,Cyclosporine
1586,1586,the immunosuppressive activities,increase,Ibrutinib,Cyclosporine
1591,1591,the immunosuppressive activities,increase,Baricitinib,Cyclosporine
1601,1601,The metabolism,decrease,Amitriptyline,Cyclosporine
1603,1603,The serum concentration,increase,Cyclosporine,Allopurinol
1606,1606,the nephrotoxic activities,increase,Cyclosporine,Ciprofloxacin
1621,1621,The risk or severity of adverse effects,increase,Fluorometholone,Cyclosporine
1640,1640,The risk or severity of seizure,increase,Cyclosporine,Bupropion
1646,1646,The serum concentration,increase,Cyclosporine,Levofloxacin
1649,1649,The serum concentration,increase,Cyclosporine,Chloroquine
1651,1651,The serum concentration,increase,Cyclosporine,Haloperidol
1657,1657,The metabolism,decrease,Cyclosporine,Niacin
1660,1660,The metabolism,decrease,Hydralazine,Cyclosporine
1664,1664,The metabolism,decrease,Cyclosporine,Epinephrine
1671,1671,The metabolism,decrease,Cyclosporine,Capsaicin
1674,1674,The metabolism,decrease,Cyclosporine,Cabergoline
1675,1675,The metabolism,decrease,Cyclosporine,Diethylstilbestrol
1680,1680,The metabolism,decrease,Cyclosporine,Efonidipine
1683,1683,The metabolism,decrease,Cyclosporine,Mefloquine
1684,1684,The metabolism,decrease,Cyclosporine,Clofazimine
1685,1685,The metabolism,decrease,Cyclosporine,Metronidazole
1686,1686,The metabolism,decrease,Cyclosporine,Dihydroergotamine
1687,1687,The metabolism,decrease,Cyclosporine,Felodipine
2236,2236,The therapeutic efficacy,decrease,Levodopa,Methionine
2237,2237,The metabolism,increase,Aripiprazole,Calcitriol
2240,2240,The metabolism,increase,Ifosfamide,Calcitriol
