,Unnamed: 0,index,mechanism,action,drugA,drugB
73,94,73,The serum concentration,increase,Bupropion,Abiraterone
74,95,74,The serum concentration,increase,Buspirone,Abiraterone
75,96,75,The serum concentration,increase,Cabazitaxel,Abiraterone
76,98,76,The serum concentration,increase,Caffeine,Abiraterone
77,100,77,The metabolism,decrease,Cannabidiol,Abiraterone
78,102,78,The serum concentration,decrease,Carbamazepine,Abiraterone
79,105,79,The metabolism,decrease,Carisoprodol,Abiraterone
80,107,80,The serum concentration,increase,Carteolol,Abiraterone
81,108,81,The serum concentration,increase,Carvedilol,Abiraterone
82,109,82,The metabolism,decrease,Celecoxib,Abiraterone
83,110,83,The serum concentration,increase,Ceritinib,Abiraterone
84,111,84,The serum concentration,increase,Cerivastatin,Abiraterone
85,112,85,The serum concentration,increase,Cevimeline,Abiraterone
86,113,86,The metabolism,decrease,Chloramphenicol,Abiraterone
87,114,87,The serum concentration,increase,Chloroquine,Abiraterone
88,116,88,The serum concentration,increase,Chlorpromazine,Abiraterone
89,117,89,The metabolism,decrease,Chlorpropamide,Abiraterone
90,118,90,The serum concentration,increase,Chlorzoxazone,Abiraterone
91,119,91,The serum concentration,increase,Cilostazol,Abiraterone
92,120,92,The serum concentration,increase,Cinacalcet,Abiraterone
93,121,93,The serum concentration,increase,Cinnarizine,Abiraterone
94,122,94,The serum concentration,increase,Cisapride,Abiraterone
95,123,95,The serum concentration,increase,Citalopram,Abiraterone
96,124,96,The metabolism,decrease,Clarithromycin,Abiraterone
97,125,97,The metabolism,decrease,Clemastine,Abiraterone
98,126,98,The serum concentration,increase,Clenbuterol,Abiraterone
99,127,99,The serum concentration,increase,Clevidipine,Abiraterone
100,128,100,The serum concentration,increase,Clomipramine,Abiraterone
101,129,101,The serum concentration,increase,Clonidine,Abiraterone
102,130,102,The serum concentration of the active metabolites,reduce,Clopidogrel,Abiraterone
103,131,103,The metabolism,decrease,Abiraterone,Clotiazepam
104,132,104,The metabolism,decrease,Abiraterone,Clotrimazole
105,133,105,The serum concentration,increase,Abiraterone,Clozapine
106,134,106,The serum concentration,increase,Abiraterone,Codeine
107,135,107,The serum concentration,increase,Abiraterone,Conivaptan
108,136,108,The metabolism,decrease,Abiraterone,Crizotinib
109,137,109,The serum concentration,increase,Abiraterone,Cyclobenzaprine
110,138,110,The serum concentration,increase,Abiraterone,Cyclophosphamide
111,139,111,The metabolism,decrease,Abiraterone,Cyclosporine
112,140,112,The serum concentration,decrease,Abiraterone,Dabrafenib
113,141,113,The serum concentration,increase,Abiraterone,Dacarbazine
114,142,114,The serum concentration,increase,Abiraterone,Dapagliflozin
115,143,115,The serum concentration,increase,Abiraterone,Darifenacin
116,144,116,The serum concentration,increase,Abiraterone,Dasatinib
117,145,117,The serum concentration,increase,Abiraterone,Daunorubicin
118,147,118,The serum concentration,increase,Abiraterone,Desipramine
119,148,119,The serum concentration,increase,Abiraterone,Deutetrabenazine
120,150,120,The serum concentration,increase,Abiraterone,Dexfenfluramine
121,153,121,The serum concentration,increase,Abiraterone,Dextroamphetamine
122,154,122,The serum concentration,increase,Abiraterone,Dextromethorphan
123,155,123,The serum concentration,increase,Abiraterone,Diazepam
124,156,124,The serum concentration,increase,Abiraterone,Diclofenac
125,158,125,the cardiotoxic activities,decrease,Abiraterone,Digitoxin
126,159,126,the cardiotoxic activities,decrease,Abiraterone,Digoxin
127,160,127,The metabolism,decrease,Abiraterone,Dihydroergotamine
128,161,128,The serum concentration,increase,Abiraterone,Diltiazem
129,163,129,The serum concentration,increase,Abiraterone,Diphenhydramine
130,164,130,The risk or severity of adverse effects,increase,Abiraterone,Docetaxel
131,166,131,The serum concentration,increase,Abiraterone,Dolasetron
132,167,132,The serum concentration,increase,Abiraterone,Domperidone
133,168,133,The serum concentration,increase,Abiraterone,Donepezil
134,169,134,The serum concentration,increase,Abiraterone,Dopamine
135,170,135,The metabolism,decrease,Abiraterone,Dorzolamide
136,171,136,The serum concentration,increase,Abiraterone,Doxazosin
137,172,137,The serum concentration,increase,Abiraterone,Doxepin
138,173,138,The serum concentration,increase,Abiraterone,Doxorubicin
139,175,139,The serum concentration,increase,Abiraterone,Dronabinol
140,176,140,The serum concentration,increase,Abiraterone,Dronedarone
141,178,141,The serum concentration,increase,Abiraterone,Eletriptan
142,180,142,The serum concentration,increase,Abiraterone,Eltrombopag
143,182,143,The serum concentration,increase,Abiraterone,Encainide
144,183,144,The serum concentration,decrease,Abiraterone,Enzalutamide
145,184,145,The serum concentration,increase,Abiraterone,Epinastine
146,188,146,The metabolism,decrease,Abiraterone,Erythromycin
147,190,147,The metabolism,decrease,Abiraterone,Esomeprazole
148,191,148,The serum concentration,increase,Abiraterone,Estradiol
149,197,149,The serum concentration,increase,Abiraterone,Estrone
150,199,150,The serum concentration,increase,Abiraterone,Eszopiclone
151,200,151,The serum concentration,increase,Abiraterone,Ethanol
152,201,152,The serum concentration,increase,Abiraterone,Ethylmorphine
153,203,153,The metabolism,decrease,Abiraterone,Etodolac
154,204,154,The serum concentration,increase,Abiraterone,Etoposide
155,205,155,The serum concentration,increase,Abiraterone,Etoricoxib
156,206,156,The metabolism,decrease,Abiraterone,Famotidine
157,209,157,The serum concentration,increase,Abiraterone,Flecainide
158,210,158,The serum concentration,increase,Abiraterone,Flunarizine
159,211,159,The serum concentration,increase,Abiraterone,Flunitrazepam
160,212,160,The serum concentration,increase,Abiraterone,Fluorouracil
161,213,161,The serum concentration,increase,Abiraterone,Fluoxetine
162,214,162,The serum concentration,increase,Abiraterone,Fluphenazine
163,215,163,The metabolism,decrease,Abiraterone,Flurbiprofen
164,216,164,The serum concentration,increase,Abiraterone,Flutamide
165,217,165,The serum concentration,increase,Abiraterone,Fluvastatin
166,218,166,The serum concentration,increase,Abiraterone,Fluvoxamine
167,220,167,The serum concentration,decrease,Abiraterone,Fosphenytoin
168,221,168,The serum concentration,increase,Abiraterone,Frovatriptan
169,222,169,The serum concentration,increase,Abiraterone,Galantamine
170,223,170,The serum concentration,increase,Abiraterone,Gefitinib
171,224,171,The metabolism,decrease,Abiraterone,Gliclazide
172,225,172,The metabolism,decrease,Abiraterone,Glimepiride
173,226,173,The metabolism,decrease,Abiraterone,Glipizide
174,228,174,The metabolism,decrease,Abiraterone,Glyburide
175,229,175,The serum concentration,increase,Abiraterone,Granisetron
176,230,176,The serum concentration,increase,Abiraterone,Guanabenz
177,231,177,The metabolism,decrease,Abiraterone,Guanfacine
178,233,178,The serum concentration,increase,Abiraterone,Haloperidol
179,234,179,The serum concentration,increase,Abiraterone,Halothane
180,235,180,The serum concentration,increase,Abiraterone,Hesperetin
181,237,181,The metabolism,decrease,Abiraterone,Histamine
182,238,182,The serum concentration,increase,Abiraterone,Hydrocodone
183,239,183,The serum concentration,increase,Abiraterone,Hydromorphone
184,240,184,The serum concentration,increase,Abiraterone,Ibrutinib
185,241,185,The serum concentration,increase,Abiraterone,Ibuprofen
186,242,186,The serum concentration,increase,Abiraterone,Icotinib
187,243,187,The serum concentration,increase,Abiraterone,Idarubicin
188,244,188,The serum concentration,increase,Abiraterone,Ifosfamide
189,247,189,The serum concentration,increase,Abiraterone,Imipramine
190,248,190,The serum concentration,increase,Abiraterone,Imiquimod
191,249,191,The metabolism,decrease,Abiraterone,Indomethacin
192,251,192,The serum concentration,increase,Abiraterone,Irbesartan
193,253,193,The metabolism,decrease,Abiraterone,Isradipine
194,254,194,The metabolism,decrease,Abiraterone,Itraconazole
195,255,195,The serum concentration,increase,Abiraterone,Ivacaftor
196,256,196,The serum concentration,increase,Abiraterone,Ketamine
197,258,197,The metabolism,decrease,Abiraterone,Ketoconazole
198,259,198,The metabolism,decrease,Abiraterone,Ketoprofen
199,260,199,The serum concentration,increase,Abiraterone,Labetalol
200,261,200,The serum concentration,increase,Abiraterone,Lansoprazole
201,262,201,The serum concentration,increase,Abiraterone,Lapatinib
202,263,202,The serum concentration,increase,Abiraterone,Leflunomide
203,265,203,The serum concentration,increase,Abiraterone,Levobupivacaine
204,266,204,The serum concentration,increase,Abiraterone,Levodopa
205,268,205,The serum concentration,increase,Abiraterone,Lidocaine
206,269,206,The serum concentration,increase,Abiraterone,Lisuride
207,270,207,The serum concentration,increase,Abiraterone,Lomefloxacin
208,271,208,The serum concentration,increase,Abiraterone,Lomustine
209,272,209,The serum concentration,increase,Abiraterone,Loperamide
210,273,210,The serum concentration,increase,Abiraterone,Loratadine
211,274,211,The serum concentration,increase,Abiraterone,Lorcaserin
212,275,212,The metabolism,decrease,Abiraterone,Lornoxicam
213,277,213,The serum concentration,increase,Abiraterone,Losartan
214,278,214,The metabolism,decrease,Abiraterone,Lovastatin
215,280,215,The serum concentration,increase,Abiraterone,Lumiracoxib
216,281,216,The metabolism,decrease,Abiraterone,Macitentan
217,282,217,The serum concentration,increase,Abiraterone,Malathion
218,283,218,The serum concentration,increase,Abiraterone,Maprotiline
219,285,219,The serum concentration,increase,Abiraterone,Melatonin
220,286,220,The serum concentration,increase,Abiraterone,Meloxicam
221,289,221,The serum concentration,increase,Abiraterone,Mequitazine
222,290,222,The serum concentration,increase,Abiraterone,Mesoridazine
223,291,223,The metabolism,decrease,Abiraterone,Mestranol
224,292,224,The serum concentration,increase,Abiraterone,Methadone
225,294,225,The serum concentration,increase,Abiraterone,Methotrimeprazine
226,295,226,The serum concentration,increase,Abiraterone,Methoxyflurane
227,296,227,The metabolism,decrease,Abiraterone,Methsuximide
228,297,228,The serum concentration,increase,Abiraterone,Methylphenidate
229,300,229,The serum concentration,increase,Abiraterone,Metoclopramide
230,301,230,The serum concentration,increase,Abiraterone,Metoprolol
231,302,231,The metabolism,decrease,Abiraterone,Metronidazole
232,303,232,The serum concentration,increase,Abiraterone,Mexiletine
233,304,233,The serum concentration,increase,Abiraterone,Mianserin
234,305,234,The serum concentration,increase,Abiraterone,Mifepristone
235,306,235,The serum concentration,increase,Abiraterone,Minaprine
236,307,236,The serum concentration,increase,Abiraterone,Mirabegron
237,309,237,The serum concentration,decrease,Abiraterone,Mitotane
238,310,238,The serum concentration,increase,Abiraterone,Moclobemide
239,311,239,The metabolism,decrease,Abiraterone,Montelukast
240,312,240,The serum concentration,increase,Abiraterone,Morphine
241,314,241,The metabolism,decrease,Abiraterone,Nabiximols
242,315,242,The serum concentration,increase,Abiraterone,Nabumetone
243,316,243,The serum concentration,increase,Abiraterone,Naloxone
244,317,244,The serum concentration,increase,Abiraterone,Naproxen
245,318,245,The serum concentration,increase,Abiraterone,Nateglinide
246,319,246,The serum concentration,increase,Abiraterone,Nebivolol
247,320,247,The serum concentration,increase,Abiraterone,Nefazodone
248,321,248,The serum concentration,increase,Abiraterone,Netupitant
249,322,249,The serum concentration,increase,Abiraterone,Nicardipine
250,323,250,the antihypertensive activities,decrease,Acebutolol,Aceclofenac
251,325,251,the hypoglycemic activities,increase,Acebutolol,Acetohexamide
252,328,252,the bradycardic activities,increase,Acebutolol,Alfentanil
253,329,253,the hypotensive activities,increase,Acebutolol,Alfuzosin
254,331,254,the hypotensive activities,increase,Acebutolol,Aliskiren
255,332,255,the hypotensive activities,increase,Acebutolol,Alprenolol
256,334,256,the hypotensive activities,increase,Acebutolol,Ambrisentan
257,335,257,the hypotensive activities,increase,Acebutolol,Amifostine
258,336,258,The risk or severity of adverse effects,increase,Acebutolol,Amiloride
259,337,259,the bronchodilatory activities,decrease,Acebutolol,Aminophylline
260,338,260,The therapeutic efficacy,increase,Acebutolol,Amiodarone
261,339,261,the hypotensive activities,increase,Acebutolol,Amlodipine
262,341,262,The metabolism,decrease,Acebutolol,Amodiaquine
263,342,263,The risk or severity of adverse effects,increase,Acebutolol,Amphetamine
264,345,264,The serum concentration,decrease,Acebutolol,Apalutamide
265,346,265,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Apomorphine
266,347,266,the antihypertensive activities,decrease,Acebutolol,Apremilast
267,349,267,the hypotensive activities,increase,Acebutolol,Aripiprazole
268,353,268,the antihypertensive activities,decrease,Acebutolol,Azelastine
269,354,269,the antihypertensive activities,decrease,Acebutolol,Balsalazide
270,355,270,the bronchodilatory activities,decrease,Acebutolol,Bambuterol
271,356,271,the hypotensive activities,increase,Acebutolol,Benazepril
272,357,272,the hypotensive activities,increase,Acebutolol,Bendroflumethiazide
273,359,273,the hypotensive activities,increase,Acebutolol,Bepridil
274,360,274,the hypotensive activities,increase,Acebutolol,Betaxolol
275,361,275,the hypotensive activities,increase,Acebutolol,Bisoprolol
276,362,276,The risk or severity of adverse effects,increase,Acebutolol,Bortezomib
277,363,277,the hypotensive activities,increase,Acebutolol,Bosentan
278,365,278,the antihypertensive activities,decrease,Acebutolol,Bromfenac
279,366,279,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Bromocriptine
280,367,280,The risk or severity of adverse effects,increase,Acebutolol,Bumetanide
281,368,281,The serum concentration,increase,Acebutolol,Bupivacaine
282,369,282,the vasoconstricting activities,increase,Acebutolol,Cabergoline
283,370,283,The risk or severity of adverse effects,increase,Acebutolol,Canagliflozin
284,374,284,the hypotensive activities,increase,Acebutolol,Carteolol
285,375,285,the orthostatic hypotensive activities,increase,Acebutolol,Carvedilol
286,376,286,the antihypertensive activities,decrease,Acebutolol,Celecoxib
287,377,287,The risk or severity of adverse effects,increase,Acebutolol,Celiprolol
288,378,288,the bradycardic activities,increase,Acebutolol,Ceritinib
289,379,289,The risk or severity of adverse effects,increase,Acebutolol,Cevimeline
290,380,290,The metabolism,decrease,Acebutolol,Chloroquine
291,381,291,the hypotensive activities,increase,Acebutolol,Chlorpromazine
292,382,292,the hypoglycemic activities,increase,Acebutolol,Chlorpropamide
293,383,293,The risk or severity of adverse effects,increase,Acebutolol,Cilnidipine
294,384,294,The risk or severity of adverse effects,increase,Acebutolol,Clenbuterol
295,385,295,The risk or severity of adverse effects,increase,Acebutolol,Clevidipine
296,386,296,The risk or severity of adverse effects,increase,Acebutolol,Clofarabine
297,387,297,The risk or severity of adverse effects,increase,Acebutolol,Clomipramine
298,388,298,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Clonidine
299,389,299,The risk or severity of adverse effects,increase,Acebutolol,Clozapine
300,390,300,The risk or severity of adverse effects,increase,Acebutolol,Conivaptan
301,391,301,the bradycardic activities,increase,Acebutolol,Crizotinib
302,392,302,The risk or severity of adverse effects,increase,Acebutolol,Dapagliflozin
303,394,303,the bradycardic activities,increase,Acebutolol,Decamethonium
304,396,304,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Dexmedetomidine
305,397,305,the hypotensive activities,increase,Acebutolol,Diazoxide
306,398,306,the antihypertensive activities,decrease,Acebutolol,Diclofenac
307,400,307,the antihypertensive activities,decrease,Acebutolol,Diflunisal
308,401,308,the bradycardic activities,increase,Acebutolol,Digitoxin
309,402,309,the bradycardic activities,increase,Acebutolol,Digoxin
310,403,310,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Dihydroergotamine
311,404,311,the hypotensive activities,increase,Acebutolol,Diltiazem
312,405,312,the bradycardic activities,increase,Acebutolol,Disopyramide
313,406,313,The risk or severity of adverse effects,increase,Acebutolol,Dobutamine
314,407,314,the bradycardic activities,increase,Acebutolol,Donepezil
315,408,315,The risk or severity of adverse effects,increase,Acebutolol,Dopamine
316,409,316,the hypotensive activities,increase,Acebutolol,Dorzolamide
317,410,317,the orthostatic hypotensive activities,increase,Acebutolol,Doxazosin
318,411,318,the tachycardic activities,increase,Acebutolol,Dronabinol
319,412,319,the bradycardic activities,increase,Acebutolol,Dronedarone
320,413,320,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Droxidopa
321,415,321,the hypotensive activities,increase,Acebutolol,Efonidipine
322,418,322,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Epinephrine
323,419,323,The risk or severity of adverse effects,increase,Acebutolol,Eplerenone
324,425,324,the antihypertensive activities,decrease,Acebutolol,Etodolac
325,426,325,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Etomidate
326,427,326,the antihypertensive activities,decrease,Acebutolol,Etoricoxib
327,428,327,the hypotensive activities,increase,Acebutolol,Felodipine
328,429,328,the bradycardic activities,increase,Acebutolol,Fentanyl
329,432,329,The serum concentration,increase,Fluoxetine,Acebutolol
330,433,330,the hypotensive activities,increase,Fluphenazine,Acebutolol
331,434,331,the antihypertensive activities,decrease,Flurbiprofen,Acebutolol
332,436,332,The risk or severity of adverse effects,increase,Furosemide,Acebutolol
333,437,333,the bradycardic activities,increase,Galantamine,Acebutolol
334,438,334,the hypoglycemic activities,increase,Gliclazide,Acebutolol
335,439,335,the hypoglycemic activities,increase,Glimepiride,Acebutolol
336,440,336,the hypoglycemic activities,increase,Glipizide,Acebutolol
337,441,337,the hypoglycemic activities,increase,Glyburide,Acebutolol
338,442,338,the atrioventricular blocking ( AV block ) activities,increase,Guanabenz,Acebutolol
339,444,339,the atrioventricular blocking ( AV block ) activities,increase,Guanfacine,Acebutolol
340,445,340,The risk or severity of adverse effects,increase,Halothane,Acebutolol
341,447,341,the hypotensive activities,increase,Hydralazine,Acebutolol
342,448,342,The metabolism,decrease,Hydroxychloroquine,Acebutolol
343,449,343,the antihypertensive activities,decrease,Ibuprofen,Acebutolol
344,450,344,The risk or severity of adverse effects,increase,Imipramine,Acebutolol
345,452,345,the hypotensive activities,increase,Indapamide,Acebutolol
346,453,346,the antihypertensive activities,decrease,Indomethacin,Acebutolol
347,454,347,the hypotensive activities,increase,Irbesartan,Acebutolol
348,456,348,The risk or severity of adverse effects,increase,Isoflurane,Acebutolol
349,457,349,the bradycardic activities,increase,Isoflurophate,Acebutolol
350,461,350,the hypotensive activities,increase,Isradipine,Acebutolol
351,462,351,the antihypertensive activities,decrease,Ketoprofen,Acebutolol
352,463,352,the orthostatic hypotensive activities,increase,Labetalol,Acebutolol
353,464,353,the antihypertensive activities,decrease,Leflunomide,Acebutolol
354,465,354,the hypotensive activities,increase,Lercanidipine,Acebutolol
355,466,355,The risk or severity of adverse effects,increase,Levobupivacaine,Acebutolol
356,467,356,the orthostatic hypotensive activities,increase,Levodopa,Acebutolol
357,470,357,The serum concentration,increase,Lidocaine,Acebutolol
358,471,358,the antihypertensive activities,decrease,Lornoxicam,Acebutolol
359,472,359,the hypotensive activities,increase,Losartan,Acebutolol
360,475,360,the antihypertensive activities,decrease,Lumiracoxib,Acebutolol
361,476,361,the hypotensive activities,increase,Macitentan,Acebutolol
362,477,362,the bradycardic activities,increase,Malathion,Acebutolol
363,480,363,the bradycardic activities,increase,Mefloquine,Acebutolol
364,481,364,the antihypertensive activities,decrease,Meloxicam,Acebutolol
365,482,365,the bradycardic activities,increase,Memantine,Acebutolol
366,483,366,the hypotensive activities,increase,Mesoridazine,Acebutolol
367,487,367,the hypotensive activities,increase,Methotrimeprazine,Acebutolol
368,488,368,the hypotensive activities,increase,Methyldopa,Acebutolol
369,490,369,the antihypertensive activities,decrease,Methylphenidate,Acebutolol
370,492,370,the bradycardic activities,increase,Metoclopramide,Acebutolol
371,493,371,The serum concentration,increase,Metoprolol,Acebutolol
372,494,372,the bradycardic activities,increase,Midodrine,Acebutolol
373,495,373,the bradycardic activities,increase,Minaprine,Acebutolol
374,496,374,the hypotensive activities,increase,Moclobemide,Acebutolol
375,498,375,The risk or severity of adverse effects,increase,Morphine,Acebutolol
376,501,376,The risk or severity of adverse effects,increase,Nabilone,Acebutolol
377,502,377,the antihypertensive activities,decrease,Nabumetone,Acebutolol
378,503,378,the antihypertensive activities,decrease,Naproxen,Acebutolol
379,504,379,the hypotensive activities,increase,Nebivolol,Acebutolol
380,505,380,The serum concentration,increase,Nefazodone,Acebutolol
381,506,381,the bradycardic activities,increase,Neostigmine,Acebutolol
382,507,382,the hypotensive activities,increase,Nicardipine,Acebutolol
383,509,383,the anticoagulant activities,increase,Acenocoumarol,Aceclofenac
384,512,384,the antihypertensive activities,decrease,Aliskiren,Aceclofenac
385,513,385,the antihypertensive activities,decrease,Alprenolol,Aceclofenac
386,514,386,the antihypertensive activities,decrease,Amiloride,Aceclofenac
387,515,387,The metabolism,decrease,Amiodarone,Aceclofenac
388,518,388,The serum concentration,decrease,Apalutamide,Aceclofenac
389,520,389,The risk or severity of adverse effects,increase,Apremilast,Aceclofenac
390,521,390,The metabolism,increase,Aprepitant,Aceclofenac
391,522,391,the anticoagulant activities,increase,Argatroban,Aceclofenac
392,523,392,The risk or severity of adverse effects,increase,Azelastine,Aceclofenac
393,524,393,the nephrotoxic activities,increase,Balsalazide,Aceclofenac
394,526,394,The risk or severity of adverse effects,increase,Benazepril,Aceclofenac
395,527,395,The therapeutic efficacy,decrease,Bendroflumethiazide,Aceclofenac
396,528,396,The risk or severity of adverse effects,increase,Betamethasone,Aceclofenac
397,529,397,the antihypertensive activities,decrease,Betaxolol,Aceclofenac
398,531,398,the antihypertensive activities,decrease,Bisoprolol,Aceclofenac
399,532,399,the anticoagulant activities,increase,Bivalirudin,Aceclofenac
400,533,400,The risk or severity of adverse effects,increase,Bromfenac,Aceclofenac
401,534,401,The risk or severity of adverse effects,increase,Budesonide,Aceclofenac
402,535,402,The therapeutic efficacy,decrease,Bumetanide,Aceclofenac
403,537,403,The metabolism,decrease,Capecitabine,Aceclofenac
404,539,404,The metabolism,increase,Carbamazepine,Aceclofenac
405,540,405,the antihypertensive activities,decrease,Carteolol,Aceclofenac
406,541,406,the antihypertensive activities,decrease,Carvedilol,Aceclofenac
407,542,407,The risk or severity of adverse effects,increase,Celecoxib,Aceclofenac
408,543,408,the antihypertensive activities,decrease,Celiprolol,Aceclofenac
409,544,409,The serum concentration,increase,Ceritinib,Aceclofenac
410,545,410,The risk or severity of adverse effects,increase,Chloroquine,Aceclofenac
411,546,411,The metabolism,decrease,Cholecalciferol,Aceclofenac
412,550,412,The metabolism,decrease,Clotrimazole,Aceclofenac
413,553,413,the nephrotoxic activities,increase,Cyclosporine,Aceclofenac
414,555,414,The serum concentration,decrease,Dabrafenib,Aceclofenac
415,556,415,the excretion rate which could result in a higher serum level,decrease,Daunorubicin,Aceclofenac
416,558,416,The risk or severity of adverse effects,increase,Dexamethasone,Aceclofenac
417,560,417,The risk or severity of adverse effects,increase,Diclofenac,Aceclofenac
418,562,418,The risk or severity of adverse effects,increase,Diflunisal,Aceclofenac
419,563,419,The serum concentration,increase,Digoxin,Aceclofenac
420,566,420,the excretion rate which could result in a higher serum level,decrease,Doxorubicin,Aceclofenac
421,569,421,the neuroexcitatory activities,increase,Enoxacin,Aceclofenac
422,570,422,the excretion rate which could result in a higher serum level,decrease,Epirubicin,Aceclofenac
423,571,423,the antihypertensive activities,decrease,Eplerenone,Aceclofenac
424,574,424,The risk or severity of adverse effects,increase,Estrone,Aceclofenac
425,577,425,The risk or severity of adverse effects,increase,Etodolac,Aceclofenac
426,578,426,The risk or severity of adverse effects,increase,Etoricoxib,Aceclofenac
427,579,427,The metabolism,decrease,Floxuridine,Aceclofenac
428,580,428,The risk or severity of adverse effects,increase,Flunisolide,Aceclofenac
429,582,429,The risk or severity of adverse effects,increase,Fluorometholone,Aceclofenac
430,583,430,The metabolism,decrease,Fluorouracil,Aceclofenac
431,584,431,The risk or severity of adverse effects,increase,Flurbiprofen,Aceclofenac
