,Unnamed: 0,index,id,name,target,enzyme,smile_string,smile,gene,disease
117,246,117,DB00604,Cisapride,Q13639|P46098|P28223|Q12809,P24462|P08684|P20815|P11509|P20813|P33261|P10632|P11712|P10635,CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC,13|50|71|80|90|102|190|249|272|317|322|366|387|486|561|642|650|653|695|699|718|739|798|807|841|869|875|910|926|935|937|1019|1034|1057|1145|1152|1171|1254|1261|1304|1325|1328|1380|1392|1403|1410|1452|1457|1458|1480|1536|1667|1670|1683|1712|1750|1762|1791|1873|1911|1917|1928|1970|1991,HTR3A|PPY|CYP3A4|KCNH2|HTR4|HTR4,MESH:D015746|MESH:D000307|MESH:D001145|MESH:D054537|MESH:D001919|MESH:D006332|MESH:D002311|MESH:D056486|MESH:D003248|MESH:D003480|MESH:D003645|MESH:D016757|MESH:D003680|MESH:D048909|MESH:D004381|MESH:D004415|MESH:D004417|MESH:D004421|MESH:D020233|MESH:D005764|MESH:D018589|MESH:D006323|MESH:D006331|MESH:D006965|MESH:D007022|MESH:D008133|MESH:D009127|MESH:D010146|MESH:D010302|MESH:D010490|MESH:C536421|MESH:D011605|MESH:D051437|MESH:D013276|MESH:D013575|MESH:D013610|MESH:D017180|MESH:D016171|MESH:D018487|MESH:D014693
118,247,118,DB00451,Levothyroxine,P10827|P10828|P06756|P05106,P10632|P22309|P08183,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,1|24|79|80|88|202|322|333|387|389|473|582|650|661|695|786|807|875|947|1017|1057|1171|1221|1314|1380|1408|1427|1602|1617|1754|1763|1844|1849|1873|1917|1960,TSHB|THRB|NFE2L2|F9|PPARG|THRA|SERPINE1|THBD|AHR,MESH:D015746|MESH:D058186|MESH:D000740|MESH:D000744|MESH:D001002|MESH:D001145|MESH:D001281|MESH:D006332|MESH:D002349|MESH:D056486|MESH:D060825|MESH:D003128|MESH:D003693|MESH:D003865|MESH:D064420|MESH:D004719|MESH:D005317|MESH:D005705|MESH:D006042|MESH:D006044|MESH:D006111|MESH:D050031|MESH:D006319|MESH:D006456|MESH:D006505|MESH:D006937|MESH:D006965|MESH:D006973|MESH:D006980|MESH:D006981|MESH:D018476|MESH:D007018|MESH:D007037|MESH:D007674|MESH:D008107|MESH:D017114|MESH:D009078|MESH:D009207|MESH:D009230|MESH:D009325|MESH:D009336|MESH:D019965|MESH:D010292|MESH:D051437|MESH:D012640|MESH:D012871|MESH:D013610|MESH:D013611|MESH:D013959|MESH:D013971|MESH:D014839|MESH:D015430|MESH:D015431
119,248,119,DB00963,Bromfenac,P35354|P23219,P35354,NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1,9|80|275|325|389|650|728|807|909|914|1039|1088|1157|1171|1185|1301|1349|1380|1385|1430|1447|1457|1597|1631|1649|1674|1697|1737|1750|1775|1791|1873|1917|1991,PTGS2|PTGS1,MESH:D056486|MESH:D017114
120,250,120,DB00934,Maprotiline,P23975|P35367|P11229|P08172|P20309|P08173|P08912|P35348|P35368|P25100|P28223|P28335|P34969|P14416|P08913|P18089|P18825,P10635|P05177,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21,60|80|138|159|371|654|667|795|892|926|1019|1027|1031|1057|1060|1088|1152|1162|1199|1325|1371|1380|1407|1430|1460|1567|1605|1742|1750|1873|1896|1911|1980|1995,SLC6A2|ATXN2|MTOR|ABCB1|CYP2D6|CYP1A2|DRD1|CYP3A4|TSHR|TP53|CYP2C9,MESH:D000544|MESH:D001008|MESH:D001145|MESH:D001282|MESH:D001714|MESH:D001763|MESH:D002375|MESH:D002389|MESH:D002524|MESH:D056486|MESH:D003128|MESH:D003248|MESH:D003680|MESH:D003693|MESH:D003866|MESH:D003865|MESH:D006970|MESH:D007174|MESH:D004244|MESH:D062787|MESH:D004827|MESH:D004830|MESH:D005076|MESH:D005334|MESH:D020234|MESH:D015812|MESH:D006212|MESH:D006261|MESH:D006323|MESH:D006561|MESH:D007035|MESH:D053609|MESH:D008133|MESH:D001523|MESH:D009069|MESH:D009207|MESH:D009437|MESH:D009459|MESH:D010698|MESH:D011595|MESH:D012131|MESH:D012640|MESH:D013009|MESH:D013064|MESH:D013226|MESH:D013313|MESH:D016171|MESH:D014202|MESH:D014549|MESH:D018366|MESH:D014786|MESH:D014987
121,251,121,DB00448,Lansoprazole,P20648|P10636,P04798|Q16678|P10632|P11712|P33260|P10635|P08684|P33261,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,80|110|114|119|213|252|289|343|378|427|429|462|474|487|535|626|650|677|695|787|809|980|984|989|1057|1076|1088|1097|1114|1121|1199|1256|1265|1380|1452|1453|1671|1722|1739|1745|1750|1773|1783|1855|1866|1873|1897|1928|1970,BAZ2B|CYP2C19|KDM4E|ALOX15|IL1B|RAB9A|EHMT2|CYP1A2|ATP4B|NFE2L2|RGS4|PLK1|CYP3A4|PHOSPHO1|VDR|CYP2D6|CXCL8|MAPT|NPC1|CYP3A5|NR1I2|ATP4A|ABCB1|GSR|TPSD1|CYP1A1|ATP4B|ATP4A|CYP2C19,MESH:D015746|MESH:D058186|MESH:D000707|MESH:D000740|MESH:D000743|MESH:D001247|MESH:D001249|MESH:D001471|MESH:D001480|MESH:D002305|MESH:D002318|MESH:D056486|MESH:D003550|MESH:D003967|MESH:D004244|MESH:D004342|MESH:D004381|MESH:D004415|MESH:D004487|MESH:D004751|MESH:D016603|MESH:D004935|MESH:D004941|MESH:D004942|MESH:D005756|MESH:D005764|MESH:D005767|MESH:D006471|MESH:D006212|MESH:D006261|MESH:D006356|MESH:D016481|MESH:D006491|MESH:D006551|MESH:D006940|MESH:D006965|MESH:D007003|MESH:C537153|MESH:D007022|MESH:D007674|MESH:D007818|MESH:D057045|MESH:D007984|MESH:D008881|MESH:D018908|MESH:D009207|MESH:D009325|MESH:D009395|MESH:D009422|MESH:D010146|MESH:D010292|MESH:D010437|MESH:D010438|MESH:D019106|MESH:D011605|MESH:D045602|MESH:D013262|MESH:D013272|MESH:D013276|MESH:D013651|MESH:D018781|MESH:D013746|MESH:D014456|MESH:D014581|MESH:D014839
122,252,122,DB01159,Halothane,O14649|Q9NPC2|Q12791|Q8TCU5|O60391|Q12879|P23415|P08100|P48051|P48549|P03886|O15554|P14867|P59768|Q6W5P4|P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P20020|Q01814|Q16720|P23634,P05181|P08684|P11509|P20813|P11712,[H]C(Cl)(Br)C(F)(F)F,1|114|136|190|728|914|1453|1664|1683|1867|1928,GABRA1|GABRA3|GABRB1|GABRG1|GABRD|GABRA4|CYP2A6|KCNK18|GABRB2|KCNK2|KCNK10|GABRQ|GLRB|GABRA5|GABRG3|HSD17B10|GABRA2|GABRE|GLRA1|GABRP|ATP5F1D|GABRA6|CACNA1S|RYR1|GABRB3|GABRG2|KCNK9|KCNK3,MESH:D000014|MESH:D000138|MESH:D058186|MESH:D000740|MESH:D001002|MESH:D001049|MESH:D001145|MESH:D001157|MESH:D018771|MESH:D001237|MESH:D001249|MESH:D053099|MESH:D001919|MESH:D001927|MESH:D001930|MESH:D016534|MESH:D002303|MESH:D056486|MESH:D023341|MESH:D002779|MESH:D003645|MESH:D004342|MESH:D004802|MESH:D005234|MESH:D005315|MESH:D005334|MESH:D006099|MESH:C562477|MESH:D006261|MESH:D006323|MESH:D006327|MESH:D006331|MESH:D006333|MESH:D006501|MESH:D006505|MESH:D006521|MESH:D006930|MESH:D006940|MESH:D006947|MESH:D006973|MESH:D007022|MESH:D020244|MESH:D007565|MESH:D007674|MESH:D007826|MESH:D008103|MESH:D008107|MESH:D017093|MESH:D017114|MESH:D008305|MESH:D047508|MESH:D009069|MESH:D009127|MESH:D009135|MESH:D017202|MESH:D009212|MESH:D009336|MESH:D009503|MESH:D009846|MESH:D010146|MESH:D011183|MESH:D011297|MESH:D011782|MESH:D051437|MESH:D012131|MESH:D012206|MESH:D012640|MESH:D054138|MESH:D020886|MESH:D013224|MESH:D013226|MESH:D013610|MESH:D017180|MESH:D013927|MESH:D016171|MESH:D014313|MESH:D018487|MESH:D018497|MESH:D014693|MESH:D014839
123,253,123,DB06594,Agomelatine,P28335|P48039|P49286,P05177|P11712,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,60|80|197|203|245|253|322|350|650|667|695|718|731|781|807|828|841|875|1017|1039|1057|1087|1088|1104|1152|1243|1244|1349|1357|1380|1536|1597|1750|1855|1873|1917|1972|2008,ABCB1|HTR2B|HTR2C|MTNR1B|MTNR1A,MESH:D003866|MESH:D003865|MESH:D005355|MESH:D006946|MESH:D007333|MESH:D056128|MESH:D051437
124,254,124,DB00290,Bleomycin,P18858|P49916,Q13867,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,1|8|11|33|64|80|117|140|149|197|198|222|227|229|231|252|283|291|348|362|368|370|376|378|407|414|441|443|471|473|486|490|501|518|552|573|606|610|613|625|640|650|656|657|667|675|695|706|713|731|733|766|782|786|807|813|828|829|850|855|869|871|873|891|920|931|980|994|1019|1051|1057|1058|1059|1077|1114|1118|1126|1145|1152|1171|1203|1212|1234|1243|1257|1264|1290|1291|1301|1323|1351|1380|1381|1395|1427|1452|1457|1459|1460|1487|1502|1505|1511|1516|1521|1530|1567|1578|1600|1654|1689|1693|1694|1722|1764|1806|1810|1824|1832|1844|1849|1855|1857|1873|1876|1879|1898|1908|1911|1917|1921|1934|1935|1950|1965|1977|1990|1997|2021,CYP3A4|CCL17|WRN|IFNG|LIG1|ADK|BRCA1|GJA1|CTLA4|MAPK8|ERCC2|ERCC1|GSTP1|NFE2L2|AFP|ABCB1|F2R|SMAD2|GSTM1|PLAU|SMAD2,MESH:D055371|MESH:D000380|MESH:D000402|MESH:D000707|MESH:D000743|MESH:D000787|MESH:D001002|MESH:D001342|MESH:D019575|MESH:D001927|MESH:D002277|MESH:D018236|MESH:D006528|MESH:D002294|MESH:D003324|MESH:D003967|MESH:D004195|MESH:D004342|MESH:D004407|MESH:D004417|MESH:D004487|MESH:D007172|MESH:D005334|MESH:D005355|MESH:D005734|MESH:D006258|MESH:D006314|MESH:D006402|MESH:D006417|MESH:D006463|MESH:D006469|MESH:D006689|MESH:D006932|MESH:D006965|MESH:D006973|MESH:D006976|MESH:D006978|MESH:D007022|MESH:D007037|MESH:D000860|MESH:D054990|MESH:D007249|MESH:D007511|MESH:D000083242|MESH:D007674|MESH:D007822|MESH:D007970|MESH:D008171|MESH:D017563|MESH:D055370|MESH:D008175|MESH:D008223|MESH:D016483|MESH:D008228|MESH:D008545|MESH:D048629|MESH:D008881|MESH:D009062|MESH:D018908|MESH:D009203|MESH:D009373|MESH:D009422|MESH:D009503|MESH:C537844|MESH:D010051|MESH:D010292|MESH:D010523|MESH:D011014|MESH:D054038|MESH:D011654|MESH:D011655|MESH:D011658|MESH:D011697|MESH:D011928|MESH:D012078|MESH:D012131|MESH:D012514|MESH:D045743|MESH:D012595|MESH:D012598|MESH:D012640|MESH:D018805|MESH:D012871|MESH:D000077195|MESH:D013736|MESH:D013921|MESH:D002583|MESH:D014652|MESH:D015431
125,260,125,DB00283,Clemastine,P35367,P10635,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,13|80|99|114|201|216|369|389|392|446|448|486|548|561|562|695|816|832|926|935|1019|1028|1057|1070|1088|1145|1199|1325|1367|1380|1417|1480|1552|1665|1683|1750|1831|1873|2017|2034|2042,CYP2C9|TP53|HRH1|CYP2D6|CYP1A2|CYP3A4|CYP2C19|THPO,MESH:D000707|MESH:D000077216|MESH:D003139|MESH:D006970|MESH:D008064|MESH:D016464|MESH:D013262|MESH:D014581
126,261,126,DB00810,Biperiden,P11229,P10635,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,2|41|80|90|111|114|273|389|605|718|807|830|848|926|935|1019|1028|1054|1083|1088|1145|1199|1292|1308|1379|1380|1389|1417|1422|1480|1482|1750|1782|1791|1873|1908|1964|1998|2017|2032,CHRNA2|CHRM1|HRH1,MESH:D017109|MESH:D001480|MESH:D001714|MESH:D001919|MESH:D002375|MESH:D002819|MESH:D003072|MESH:D003680|MESH:D003693|MESH:D003866|MESH:D004401|MESH:D004409|MESH:D004421|MESH:D020821|MESH:D006562|MESH:D008538|MESH:D019964|MESH:D009069|MESH:D009207|MESH:D009437|MESH:D009759|MESH:D010300|MESH:D010302|MESH:D020734|MESH:D011595|MESH:D011605|MESH:D011618|MESH:D012021|MESH:D012559|MESH:D012640|MESH:D007319|MESH:D013375|MESH:D014103|MESH:D014202
127,263,127,DB01275,Hydralazine,Q16853|P13674|Q16665,P08684,NNC1=NN=CC2=CC=CC=C12,8|71|281|378|647|708|841|871|959|1087|1088|1152|1164|1171|1199|1357|1380|1535|1573|1630|1701|1750|1842|1855|1873,SMN2|AOC3|CYP3A4|ATAD5|CYP2C19|HSPA4|RAB9A|CYP1A2|THPO|CYP2C9|CYP2D6|EHMT2|SMN1|NPC1|PKM,MESH:D000419|MESH:D000471|MESH:D000743|MESH:D000787|MESH:D000855|MESH:D056648|MESH:D050197|MESH:D001919|MESH:D020526|MESH:D006332|MESH:D002311|MESH:D056486|MESH:D002761|MESH:D002779|MESH:D002780|MESH:D003240|MESH:D004487|MESH:D005234|MESH:D005315|MESH:D005921|MESH:D005923|MESH:D006331|MESH:D006333|MESH:D006529|MESH:D006973|MESH:D006974|MESH:D046110|MESH:D006977|MESH:D006978|MESH:D006984|MESH:D007010|MESH:D007022|MESH:D041781|MESH:D007674|MESH:D008180|MESH:D009187|MESH:D017202|MESH:D009336|MESH:D009402|MESH:D065626|MESH:D018917|MESH:D010198|MESH:D011123|MESH:D011225|MESH:D011249|MESH:D011507|MESH:D011654|MESH:D011655|MESH:D012640|MESH:D020760|MESH:D013610|MESH:D014657|MESH:D015431
128,265,128,DB01357,Mestranol,P03372,P11712|P08684|P10632,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC)C=C3,322|408|441|455|519|529|555|622|649|674|695|713|718|781|807|823|841|875|909|915|926|974|1019|1027|1039|1057|1060|1073|1099|1142|1154|1162|1236|1274|1313|1325|1380|1388|1436|1476|1531|1536|1660|1738|1750|1873|1972,CYP2C9|AR|CYP1A2|CYP2D6|CYP2C19|ESR1|TSHB|GGT1|AGT,MESH:D000236|MESH:D001024|MESH:D001157|MESH:D006528|MESH:D003866|MESH:D004374|MESH:D004412|MESH:D006261|MESH:D006345|MESH:D006973|MESH:D008113|MESH:D008641|MESH:D011559|MESH:D020521|MESH:D014188
129,268,129,DB00822,Disulfiram,P05091|P09172,P05181|P08684|P20815,CCN(CC)C(=S)SSC(=S)N(CC)CC,80|97|110|116|280|294|407|807|881|932|978|1008|1057|1129|1319|1457,CYP3A4|RGS4|EHMT2|CYP1A2|CBX1|PPARD|HSP90AA1|MPHOSPH8|KDM4A|ALDH1A1|AR|THPO|CYP2C9|PLK1|ALDH3A1|ALDH3A2|MTOR|NFE2L2|VDR|HPGD|CYP2C19|ADRB2|HSD17B10|ABCB1|NFKB1|GMNN|ATAD5|CBFB|DBH|SLC6A3|AGTR1|RUNX1|MTHFR|DRD2|GGT1|ALDH2|GFAP|TSPO|ANKK1,MESH:D015746|MESH:D000014|MESH:D000140|MESH:D000163|MESH:D000435|MESH:D000437|MESH:D019969|MESH:D018798|MESH:D000855|MESH:D001008|MESH:D018771|MESH:D001259|MESH:D020144|MESH:D001480|MESH:D001714|MESH:D001847|MESH:D001851|MESH:D001927|MESH:D020520|MESH:D002545|MESH:D001943|MESH:D001986|MESH:D002177|MESH:D002194|MESH:D002277|MESH:D002289|MESH:D002318|MESH:D002349|MESH:D002386|MESH:D002389|MESH:D002493|MESH:D002524|MESH:D002544|MESH:D056486|MESH:D023341|MESH:D019970|MESH:D003072|MESH:D003128|MESH:D003221|MESH:D019465|MESH:D003645|MESH:D003680|MESH:D003693|MESH:D003866|MESH:D003872|MESH:D017449|MESH:D004342|MESH:D064420|MESH:D004401|MESH:D004421|MESH:D004802|MESH:D004830|MESH:D004938|MESH:D005076|MESH:D005158|MESH:D005221|MESH:D063647|MESH:D005334|MESH:D005483|MESH:D020233|MESH:D006212|MESH:D006261|MESH:D006323|MESH:D006331|MESH:D006501|MESH:D006505|MESH:D006529|MESH:D006945|MESH:D006973|MESH:D006987|MESH:D034141|MESH:D018476|MESH:D007022|MESH:D007035|MESH:D007414|MESH:D020300|MESH:D007565|MESH:D015451|MESH:D017880|MESH:D017093|MESH:D017114|MESH:D008325|MESH:D008545|MESH:D008569|MESH:D008654|MESH:D019964|MESH:D009203|MESH:D017202|MESH:D009207|MESH:D009325|MESH:D009336|MESH:D009361|MESH:D009362|MESH:D009369|MESH:D009374|MESH:D009389|MESH:D009395|MESH:D009422|MESH:D020258|MESH:D009669|MESH:D009901|MESH:D009902|MESH:D010009|MESH:D012516|MESH:D010051|MESH:D010146|MESH:D010190|MESH:D010259|MESH:D010291|MESH:D010292|MESH:D020734|MESH:D010523|MESH:D010554|MESH:D010488|MESH:D011115|MESH:D011128|MESH:D011297|MESH:D049188|MESH:D011471|MESH:D011537|MESH:D011605|MESH:D011654|MESH:D011782|MESH:D012021|MESH:D051437|MESH:D012131|MESH:D012607|MESH:D012640|MESH:D012770|MESH:D012871|MESH:D013064|MESH:D020521|MESH:D053608|MESH:D013375|MESH:D013610|MESH:D014202|MESH:D001745|MESH:D014786|MESH:D014826|MESH:D014839
130,269,130,DB06730,Gestodene,P06401,P20815|P24462|P08684|P33261,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1C=C[C@@]2(O)C#C,55|57|80|84|127|184|242|253|292|294|303|314|408|436|455|554|559|622|639|650|674|717|787|807|841|909|915|926|974|1019|1057|1060|1083|1122|1154|1162|1206|1325|1351|1380|1390|1460|1558|1738|1798|1830|1834|1873|1952,AR|PGR,MESH:D020016|MESH:D000568|MESH:D004244|MESH:D006261|MESH:D006973|MESH:D008548|MESH:D008796|MESH:D009325|MESH:D012851|MESH:D013923|MESH:D019851|MESH:D013927|MESH:D014652|MESH:D054556|MESH:D020246|MESH:D014839
131,270,131,DB00363,Clozapine,P14416|P28223|P21728|P35462|P21917|P08908|P28222|P28221|P28566|P46098|P28335|P50406|P34969|P35367|Q9H3N8|P35348|P35368|P08913|P18089|P18825|P11229|P08172|P20309|P08173|P08912|Q9NYX4|P09211,P05177|P10635|P11712|P08684|P33261|P11509|P10632|P31513|P22310|P04798,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,14|74|95|102|142|165|207|216|352|378|407|440|561|588|816|875|883|926|927|935|984|1057|1060|1088|1114|1145|1153|1199|1236|1243|1380|1470|1476|1480|1508|1683|1750|1873|1904|1979|1982,JUND|GDNF|HLA-DRB5|DRD1|SRC|HTR3A|PIK3CG|CYP2C9|HRH1|PRL|POLI|CYP1A2|HLA-DRB3|DRD2|CYP2C19|HTR7|HTR2A|DRD3|HTR1A|HTR2C|CYP3A4|CBX1|DTNBP1|ABCB1|CYP2D6|DRD4|FKBP5|FASN|SH2B1|MTHFR|ANKK1|EPM2A|GSTM1|HLA-DPB1|GSTT1|GRIN2B|TBC1D1|CCKBR|COMT|HLA-C|HRH4|LEP|NTRK2|MC4R|RABEP1|KCNJ3|GLP1R|SLC6A4|NT5E|UGT1A1|SLC1A1|HLA-B|SLC6A3|GCG|IL2|C3|CNR1|ITIH3|FAAH,MESH:D015746|MESH:D000140|MESH:D058186|MESH:D000379|MESH:D000380|MESH:D017109|MESH:D000741|MESH:D000799|MESH:D000855|MESH:D001049|MESH:D001145|MESH:D001201|MESH:D050197|MESH:D001342|MESH:D001480|MESH:D056912|MESH:D001714|MESH:D001764|MESH:D001883|MESH:D001919|MESH:D020520|MESH:D001930|MESH:D052018|MESH:D002037|MESH:D002305|MESH:D009202|MESH:D002311|MESH:D002318|MESH:D002375|MESH:D002385|MESH:D002389|MESH:D056486|MESH:D002637|MESH:D002779|MESH:D002819|MESH:D019970|MESH:D003072|MESH:D003128|MESH:D003161|MESH:D019955|MESH:D003221|MESH:D003248|MESH:D054059|MESH:D003371|MESH:D003490|MESH:D003645|MESH:D016757|MESH:D003680|MESH:D003693|MESH:D003704|MESH:D003866|MESH:D003865|MESH:D003920|MESH:D003924|MESH:D016883|MESH:D003967|MESH:D006970|MESH:D007174|MESH:D004244|MESH:D003875|MESH:D004342|MESH:D062787|MESH:D064420|MESH:D004401|MESH:D004409|MESH:D020820|MESH:D050171|MESH:D004417|MESH:D004421|MESH:D020821|MESH:D004487|MESH:D004696|MESH:D020345|MESH:D004775|MESH:D004802|MESH:D004831|MESH:D004828|MESH:D004827|MESH:D017029|MESH:D004829|MESH:D004830|MESH:D007172|MESH:D005076|MESH:D005221|MESH:D005244|MESH:D005242|MESH:D001068|MESH:D005334|MESH:D044882|MESH:D006212|MESH:D006331|MESH:D006333|MESH:D006417|MESH:D006501|MESH:D006529|MESH:D006606|MESH:D006943|MESH:D006945|MESH:D006948|MESH:D006949|MESH:D006966|MESH:D006973|MESH:D017379|MESH:D018476|MESH:D007010|MESH:D007022|MESH:D007024|MESH:D007035|MESH:D007333|MESH:D007418|MESH:D020767|MESH:D007565|MESH:D041781|MESH:D007662|MESH:D007859|MESH:D053609|MESH:D007964|MESH:D007970|MESH:D020961|MESH:D008064|MESH:D008107|MESH:D017114|MESH:D008133|MESH:D001523|MESH:D008659|MESH:D024821|MESH:D019964|MESH:D019957|MESH:D009069|MESH:D009123|MESH:D009127|MESH:D018908|MESH:D009190|MESH:D009205|MESH:D009207|MESH:D009212|MESH:D020385|MESH:D009325|MESH:D009336|MESH:D009395|MESH:D009422|MESH:D019954|MESH:D009459|MESH:D009503|MESH:D053206|MESH:D009765|MESH:D009771|MESH:D015835|MESH:D010146|MESH:D010195|MESH:D016584|MESH:D010243|MESH:D010259|MESH:D010262|MESH:D010265|MESH:D010291|MESH:D010300|MESH:D020734|MESH:D010490|MESH:D010493|MESH:D010554|MESH:D010698|MESH:D010996|MESH:D011297|MESH:D011507|MESH:D011595|MESH:D011605|MESH:D011618|MESH:D011654|MESH:D011655|MESH:D012021|MESH:D020187|MESH:D051437|MESH:D012131|MESH:D012148|MESH:D012559|MESH:D012560|MESH:D012561|MESH:D012563|MESH:D012640|MESH:D012700|MESH:D020018|MESH:D012770|MESH:D012798|MESH:D012893|MESH:D013064|MESH:D019956|MESH:D013262|MESH:D013342|MESH:D019966|MESH:D013375|MESH:D013575|MESH:D013577|MESH:D013610|MESH:D013616|MESH:D013617|MESH:D013981|MESH:D014029|MESH:D014060|MESH:D014069|MESH:D014202|MESH:D014474|MESH:D014549|MESH:D016055|MESH:D014555|MESH:D018366|MESH:D054556|MESH:D020246|MESH:D014786|MESH:D014839|MESH:D015430|MESH:D015431
132,271,132,DB09078,Lenvatinib,P17948|P35968|P35916|P11362|P21802|P22607|P22455|P16234|P07949|P10721,P08684|Q06278|P10632|P11712|P05177|P20813|P33261|P10635,COC1=C(C=C2C(OC3=CC=C(NC(=O)NC4CC4)C(Cl)=C3)=CC=NC2=C1)C(N)=O,9|20|140|240|249|272|309|322|366|378|387|412|561|573|650|673|695|718|780|787|807|841|875|888|926|1018|1019|1057|1097|1134|1152|1171|1224|1254|1325|1357|1360|1370|1380|1424|1434|1452|1454|1536|1617|1634|1637|1655|1671|1683|1750|1816|1856|1866|1873|1917|1970|1989|1991,FGFR1|YES1|PDGFRB|RET|KDR|FGFR2|FLT4|BRAF|NRAS|FLT1|PDGFRA|KIT,MESH:D006528|MESH:D002292|MESH:D066126|MESH:D056486|MESH:D000013|MESH:D016889|MESH:D009374|MESH:D009389|MESH:D013964
133,272,133,DB01327,Cefazolin,P02918|P02919|P76577|P0AD65|P0AD68|P27169|P40933|P60568,P51580,[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O,5|40|41|80|89|116|118|162|186|202|232|233|281|294|305|314|329|341|378|387|389|419|456|470|650|665|675|698|747|753|762|797|807|859|872|882|892|926|932|935|936|941|998|999|1019|1057|1063|1085|1152|1164|1189|1279|1312|1380|1414|1441|1508|1510|1567|1722|1783|1873|1917|1922,EHMT2|KDM4A,MESH:D000743|MESH:D001049|MESH:D016470|MESH:D001437|MESH:D002295|MESH:D003875|MESH:D004697|MESH:D004927|MESH:D005334|MESH:D007683|MESH:D007710|MESH:D010019|MESH:D010538|MESH:D010689|MESH:D011507|MESH:D011552|MESH:D051437|MESH:D012488|MESH:D012640|MESH:D013203|MESH:D013262|MESH:D013290|MESH:D001749|MESH:D014581
134,275,134,DB01228,Encainide,Q14524,P10635,COC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1CCC1CCCCN1C,80|88|201|322|486|548|562|650|695|718|781|807|831|832|841|870|890|926|935|947|1019|1028|1057|1088|1145|1152|1199|1224|1243|1325|1349|1367|1379|1380|1385|1480|1536|1552|1597|1665|1696|1697|1750|1795|1816|1873|1917|1998,SCN5A,MESH:D001145|MESH:D006323|MESH:D006333|MESH:D013610|MESH:D013617|MESH:D017180
135,279,135,DB01046,Lubiprostone,P51788,P16152,[H][C@@]12CC(=O)[C@H](CCCCCCC(O)=O)[C@@]1([H])CC[C@@](O)(O2)C(F)(F)CCCC,80|114|142|231|294|314|334|370|389|539|546|559|584|591|622|623|650|656|728|735|794|796|807|832|926|1019|1023|1057|1060|1070|1110|1135|1143|1154|1162|1267|1287|1308|1325|1380|1453|1564|1737|1819|1835|1911|1915|1917|1928|1936|2017,CLU|CLCN2,MESH:D043183
