,Unnamed: 0,index,mechanism,action,drugA,drugB
72,72,72,The serum concentration,increase,Arformoterol,Abiraterone
73,73,73,The serum concentration,increase,Aripiprazole,Abiraterone
74,74,74,The serum concentration,increase,Asenapine,Abiraterone
75,75,75,The serum concentration,increase,Astemizole,Abiraterone
76,76,76,The serum concentration,increase,Atomoxetine,Abiraterone
77,77,77,The serum concentration,increase,Atorvastatin,Abiraterone
78,78,78,The serum concentration,increase,Axitinib,Abiraterone
79,79,79,The serum concentration,increase,Azelastine,Abiraterone
80,80,80,The serum concentration,increase,Benzatropine,Abiraterone
81,81,81,The serum concentration,increase,Bepridil,Abiraterone
82,82,82,The serum concentration,increase,Betaxolol,Abiraterone
83,83,83,The metabolism,decrease,Bexarotene,Abiraterone
84,84,84,The serum concentration,increase,Bisoprolol,Abiraterone
85,85,85,The serum concentration,increase,Bortezomib,Abiraterone
86,86,86,The serum concentration,increase,Bosentan,Abiraterone
87,87,87,The serum concentration,increase,Brexpiprazole,Abiraterone
88,88,88,The serum concentration,increase,Brigatinib,Abiraterone
89,89,89,The metabolism,decrease,Brivaracetam,Abiraterone
90,90,90,The serum concentration,increase,Bromazepam,Abiraterone
91,91,91,The serum concentration,increase,Brompheniramine,Abiraterone
92,92,92,The serum concentration,increase,Bupivacaine,Abiraterone
93,93,93,The serum concentration,increase,Buprenorphine,Abiraterone
94,94,94,The serum concentration,increase,Bupropion,Abiraterone
95,95,95,The serum concentration,increase,Buspirone,Abiraterone
96,96,96,The serum concentration,increase,Cabazitaxel,Abiraterone
97,97,97,The metabolism,decrease,Cabozantinib,Abiraterone
98,98,98,The serum concentration,increase,Caffeine,Abiraterone
99,99,99,The metabolism,decrease,Candesartancilexetil,Abiraterone
100,100,100,The metabolism,decrease,Cannabidiol,Abiraterone
101,101,101,The serum concentration,increase,Captopril,Abiraterone
102,102,102,The serum concentration,decrease,Carbamazepine,Abiraterone
103,103,103,The serum concentration,increase,Carbinoxamine,Abiraterone
104,104,104,The serum concentration,increase,Cariprazine,Abiraterone
105,105,105,The metabolism,decrease,Carisoprodol,Abiraterone
106,106,106,The serum concentration,increase,Carmustine,Abiraterone
107,107,107,The serum concentration,increase,Carteolol,Abiraterone
108,108,108,The serum concentration,increase,Carvedilol,Abiraterone
109,109,109,The metabolism,decrease,Celecoxib,Abiraterone
110,110,110,The serum concentration,increase,Ceritinib,Abiraterone
111,111,111,The serum concentration,increase,Cerivastatin,Abiraterone
112,112,112,The serum concentration,increase,Cevimeline,Abiraterone
113,113,113,The metabolism,decrease,Chloramphenicol,Abiraterone
114,114,114,The serum concentration,increase,Chloroquine,Abiraterone
115,115,115,The serum concentration,increase,Chlorphenamine,Abiraterone
116,116,116,The serum concentration,increase,Chlorpromazine,Abiraterone
117,117,117,The metabolism,decrease,Chlorpropamide,Abiraterone
118,118,118,The serum concentration,increase,Chlorzoxazone,Abiraterone
119,119,119,The serum concentration,increase,Cilostazol,Abiraterone
120,120,120,The serum concentration,increase,Cinacalcet,Abiraterone
121,121,121,The serum concentration,increase,Cinnarizine,Abiraterone
122,122,122,The serum concentration,increase,Cisapride,Abiraterone
123,123,123,The serum concentration,increase,Citalopram,Abiraterone
124,124,124,The metabolism,decrease,Clarithromycin,Abiraterone
125,125,125,The metabolism,decrease,Clemastine,Abiraterone
126,126,126,The serum concentration,increase,Clenbuterol,Abiraterone
127,127,127,The serum concentration,increase,Clevidipine,Abiraterone
128,128,128,The serum concentration,increase,Clomipramine,Abiraterone
129,129,129,The serum concentration,increase,Clonidine,Abiraterone
130,130,130,The serum concentration of the active metabolites,reduce,Clopidogrel,Abiraterone
131,131,131,The metabolism,decrease,Abiraterone,Clotiazepam
132,132,132,The metabolism,decrease,Abiraterone,Clotrimazole
133,133,133,The serum concentration,increase,Abiraterone,Clozapine
134,134,134,The serum concentration,increase,Abiraterone,Codeine
135,135,135,The serum concentration,increase,Abiraterone,Conivaptan
136,136,136,The metabolism,decrease,Abiraterone,Crizotinib
137,137,137,The serum concentration,increase,Abiraterone,Cyclobenzaprine
138,138,138,The serum concentration,increase,Abiraterone,Cyclophosphamide
139,139,139,The metabolism,decrease,Abiraterone,Cyclosporine
140,140,140,The serum concentration,decrease,Abiraterone,Dabrafenib
141,141,141,The serum concentration,increase,Abiraterone,Dacarbazine
142,142,142,The serum concentration,increase,Abiraterone,Dapagliflozin
143,143,143,The serum concentration,increase,Abiraterone,Darifenacin
144,144,144,The serum concentration,increase,Abiraterone,Dasatinib
145,145,145,The serum concentration,increase,Abiraterone,Daunorubicin
146,146,146,The serum concentration,increase,Abiraterone,Debrisoquin
147,147,147,The serum concentration,increase,Abiraterone,Desipramine
148,148,148,The serum concentration,increase,Abiraterone,Deutetrabenazine
149,149,149,The serum concentration,increase,Abiraterone,Dexchlorpheniraminemaleate
150,150,150,The serum concentration,increase,Abiraterone,Dexfenfluramine
151,151,151,The metabolism,decrease,Abiraterone,Dexlansoprazole
152,152,152,The serum concentration,increase,Abiraterone,Dexmethylphenidate
153,153,153,The serum concentration,increase,Abiraterone,Dextroamphetamine
154,154,154,The serum concentration,increase,Abiraterone,Dextromethorphan
155,155,155,The serum concentration,increase,Abiraterone,Diazepam
156,156,156,The serum concentration,increase,Abiraterone,Diclofenac
157,157,157,The metabolism,decrease,Abiraterone,Dicoumarol
158,158,158,the cardiotoxic activities,decrease,Abiraterone,Digitoxin
159,159,159,the cardiotoxic activities,decrease,Abiraterone,Digoxin
160,160,160,The metabolism,decrease,Abiraterone,Dihydroergotamine
161,161,161,The serum concentration,increase,Abiraterone,Diltiazem
162,162,162,The serum concentration,increase,Abiraterone,Dinoprostone
163,163,163,The serum concentration,increase,Abiraterone,Diphenhydramine
164,164,164,The risk or severity of adverse effects,increase,Abiraterone,Docetaxel
165,165,165,The metabolism,decrease,Abiraterone,Doconexent
166,166,166,The serum concentration,increase,Abiraterone,Dolasetron
167,167,167,The serum concentration,increase,Abiraterone,Domperidone
168,168,168,The serum concentration,increase,Abiraterone,Donepezil
169,169,169,The serum concentration,increase,Abiraterone,Dopamine
170,170,170,The metabolism,decrease,Abiraterone,Dorzolamide
171,171,171,The serum concentration,increase,Abiraterone,Doxazosin
172,172,172,The serum concentration,increase,Abiraterone,Doxepin
173,173,173,The serum concentration,increase,Abiraterone,Doxorubicin
174,174,174,The metabolism,decrease,Abiraterone,Doxycycline
175,175,175,The serum concentration,increase,Abiraterone,Dronabinol
176,176,176,The serum concentration,increase,Abiraterone,Dronedarone
177,177,177,The serum concentration,increase,Abiraterone,Duloxetine
178,178,178,The serum concentration,increase,Abiraterone,Eletriptan
179,179,179,The serum concentration,increase,Abiraterone,Eliglustat
180,180,180,The serum concentration,increase,Abiraterone,Eltrombopag
181,181,181,The serum concentration,increase,Abiraterone,Enasidenib
182,182,182,The serum concentration,increase,Abiraterone,Encainide
183,183,183,The serum concentration,decrease,Abiraterone,Enzalutamide
184,184,184,The serum concentration,increase,Abiraterone,Epinastine
185,185,185,The metabolism,decrease,Abiraterone,Epoprostenol
186,186,186,The serum concentration,increase,Abiraterone,Ergotamine
187,187,187,The serum concentration,increase,Abiraterone,Erlotinib
188,188,188,The metabolism,decrease,Abiraterone,Erythromycin
189,189,189,The serum concentration,increase,Abiraterone,Escitalopram
190,190,190,The metabolism,decrease,Abiraterone,Esomeprazole
191,191,191,The serum concentration,increase,Abiraterone,Estradiol
192,192,192,The serum concentration,increase,Abiraterone,Estradiolacetate
193,193,193,The serum concentration,increase,Abiraterone,Estradiolbenzoate
194,194,194,The serum concentration,increase,Abiraterone,Estradiolcypionate
195,195,195,The serum concentration,increase,Abiraterone,Estradioldienanthate
196,196,196,The serum concentration,increase,Abiraterone,Estradiolvalerate
197,197,197,The serum concentration,increase,Abiraterone,Estrone
198,198,198,The serum concentration,increase,Abiraterone,Estronesulfate
199,199,199,The serum concentration,increase,Abiraterone,Eszopiclone
200,200,200,The serum concentration,increase,Abiraterone,Ethanol
201,201,201,The serum concentration,increase,Abiraterone,Ethylmorphine
202,202,202,The metabolism,decrease,Abiraterone,Etizolam
203,203,203,The metabolism,decrease,Abiraterone,Etodolac
204,204,204,The serum concentration,increase,Abiraterone,Etoposide
205,205,205,The serum concentration,increase,Abiraterone,Etoricoxib
206,206,206,The metabolism,decrease,Abiraterone,Famotidine
207,207,207,The serum concentration,increase,Abiraterone,Fesoterodine
208,208,208,The serum concentration,increase,Abiraterone,Fingolimod
209,209,209,The serum concentration,increase,Abiraterone,Flecainide
210,210,210,The serum concentration,increase,Abiraterone,Flunarizine
211,211,211,The serum concentration,increase,Abiraterone,Flunitrazepam
212,212,212,The serum concentration,increase,Abiraterone,Fluorouracil
213,213,213,The serum concentration,increase,Abiraterone,Fluoxetine
214,214,214,The serum concentration,increase,Abiraterone,Fluphenazine
215,215,215,The metabolism,decrease,Abiraterone,Flurbiprofen
216,216,216,The serum concentration,increase,Abiraterone,Flutamide
217,217,217,The serum concentration,increase,Abiraterone,Fluvastatin
218,218,218,The serum concentration,increase,Abiraterone,Fluvoxamine
219,219,219,The serum concentration,increase,Abiraterone,Formoterol
220,220,220,The serum concentration,decrease,Abiraterone,Fosphenytoin
221,221,221,The serum concentration,increase,Abiraterone,Frovatriptan
222,222,222,The serum concentration,increase,Abiraterone,Galantamine
223,223,223,The serum concentration,increase,Abiraterone,Gefitinib
224,224,224,The metabolism,decrease,Abiraterone,Gliclazide
225,225,225,The metabolism,decrease,Abiraterone,Glimepiride
226,226,226,The metabolism,decrease,Abiraterone,Glipizide
227,227,227,The metabolism,decrease,Abiraterone,Glucosamine
228,228,228,The metabolism,decrease,Abiraterone,Glyburide
229,229,229,The serum concentration,increase,Abiraterone,Granisetron
230,230,230,The serum concentration,increase,Abiraterone,Guanabenz
231,231,231,The metabolism,decrease,Abiraterone,Guanfacine
232,232,232,The serum concentration,increase,Abiraterone,Halofantrine
233,233,233,The serum concentration,increase,Abiraterone,Haloperidol
234,234,234,The serum concentration,increase,Abiraterone,Halothane
235,235,235,The serum concentration,increase,Abiraterone,Hesperetin
236,236,236,The serum concentration,increase,Abiraterone,Hexobarbital
237,237,237,The metabolism,decrease,Abiraterone,Histamine
238,238,238,The serum concentration,increase,Abiraterone,Hydrocodone
239,239,239,The serum concentration,increase,Abiraterone,Hydromorphone
240,240,240,The serum concentration,increase,Abiraterone,Ibrutinib
241,241,241,The serum concentration,increase,Abiraterone,Ibuprofen
242,242,242,The serum concentration,increase,Abiraterone,Icotinib
243,243,243,The serum concentration,increase,Abiraterone,Idarubicin
244,244,244,The serum concentration,increase,Abiraterone,Ifosfamide
245,245,245,The serum concentration,increase,Abiraterone,Iloperidone
246,246,246,The serum concentration,increase,Abiraterone,Imatinib
247,247,247,The serum concentration,increase,Abiraterone,Imipramine
248,248,248,The serum concentration,increase,Abiraterone,Imiquimod
249,249,249,The metabolism,decrease,Abiraterone,Indomethacin
250,250,250,The serum concentration,increase,Abiraterone,Ipratropiumbromide
251,251,251,The serum concentration,increase,Abiraterone,Irbesartan
252,252,252,The serum concentration,increase,Abiraterone,Isavuconazole
253,253,253,The metabolism,decrease,Abiraterone,Isradipine
254,254,254,The metabolism,decrease,Abiraterone,Itraconazole
255,255,255,The serum concentration,increase,Abiraterone,Ivacaftor
256,256,256,The serum concentration,increase,Abiraterone,Ketamine
257,257,257,The serum concentration,increase,Abiraterone,Ketobemidone
258,258,258,The metabolism,decrease,Abiraterone,Ketoconazole
259,259,259,The metabolism,decrease,Abiraterone,Ketoprofen
260,260,260,The serum concentration,increase,Abiraterone,Labetalol
261,261,261,The serum concentration,increase,Abiraterone,Lansoprazole
262,262,262,The serum concentration,increase,Abiraterone,Lapatinib
263,263,263,The serum concentration,increase,Abiraterone,Leflunomide
264,264,264,The metabolism,decrease,Abiraterone,Lesinurad
265,265,265,The serum concentration,increase,Abiraterone,Levobupivacaine
266,266,266,The serum concentration,increase,Abiraterone,Levodopa
267,267,267,The serum concentration,increase,Abiraterone,Levomilnacipran
268,268,268,The serum concentration,increase,Abiraterone,Lidocaine
269,269,269,The serum concentration,increase,Abiraterone,Lisuride
270,270,270,The serum concentration,increase,Abiraterone,Lomefloxacin
271,271,271,The serum concentration,increase,Abiraterone,Lomustine
272,272,272,The serum concentration,increase,Abiraterone,Loperamide
273,273,273,The serum concentration,increase,Abiraterone,Loratadine
274,274,274,The serum concentration,increase,Abiraterone,Lorcaserin
275,275,275,The metabolism,decrease,Abiraterone,Lornoxicam
276,276,276,The serum concentration,increase,Abiraterone,Lorpiprazole
277,277,277,The serum concentration,increase,Abiraterone,Losartan
278,278,278,The metabolism,decrease,Abiraterone,Lovastatin
279,279,279,The serum concentration,decrease,Abiraterone,Lumacaftor
280,280,280,The serum concentration,increase,Abiraterone,Lumiracoxib
281,281,281,The metabolism,decrease,Abiraterone,Macitentan
282,282,282,The serum concentration,increase,Abiraterone,Malathion
283,283,283,The serum concentration,increase,Abiraterone,Maprotiline
284,284,284,The serum concentration,increase,Abiraterone,Mefenamicacid
285,285,285,The serum concentration,increase,Abiraterone,Melatonin
286,286,286,The serum concentration,increase,Abiraterone,Meloxicam
287,287,287,The serum concentration,increase,Abiraterone,Menadione
288,288,288,The metabolism,decrease,Abiraterone,Meprobamate
289,289,289,The serum concentration,increase,Abiraterone,Mequitazine
290,290,290,The serum concentration,increase,Abiraterone,Mesoridazine
291,291,291,The metabolism,decrease,Abiraterone,Mestranol
292,292,292,The serum concentration,increase,Abiraterone,Methadone
293,293,293,The serum concentration,increase,Abiraterone,Methamphetamine
294,294,294,The serum concentration,increase,Abiraterone,Methotrimeprazine
295,295,295,The serum concentration,increase,Abiraterone,Methoxyflurane
296,296,296,The metabolism,decrease,Abiraterone,Methsuximide
297,297,297,The serum concentration,increase,Abiraterone,Methylphenidate
298,298,298,The metabolism,decrease,Abiraterone,Methylphenobarbital
299,299,299,The serum concentration,increase,Abiraterone,Methyprylon
300,300,300,The serum concentration,increase,Abiraterone,Metoclopramide
301,301,301,The serum concentration,increase,Abiraterone,Metoprolol
302,302,302,The metabolism,decrease,Abiraterone,Metronidazole
303,303,303,The serum concentration,increase,Abiraterone,Mexiletine
304,304,304,The serum concentration,increase,Abiraterone,Mianserin
305,305,305,The serum concentration,increase,Abiraterone,Mifepristone
306,306,306,The serum concentration,increase,Abiraterone,Minaprine
307,307,307,The serum concentration,increase,Abiraterone,Mirabegron
308,308,308,The serum concentration,increase,Abiraterone,Mirtazapine
309,309,309,The serum concentration,decrease,Abiraterone,Mitotane
310,310,310,The serum concentration,increase,Abiraterone,Moclobemide
311,311,311,The metabolism,decrease,Abiraterone,Montelukast
312,312,312,The serum concentration,increase,Abiraterone,Morphine
313,313,313,The serum concentration,increase,Abiraterone,Mycophenolatemofetil
314,314,314,The metabolism,decrease,Abiraterone,Nabiximols
315,315,315,The serum concentration,increase,Abiraterone,Nabumetone
316,316,316,The serum concentration,increase,Abiraterone,Naloxone
317,317,317,The serum concentration,increase,Abiraterone,Naproxen
318,318,318,The serum concentration,increase,Abiraterone,Nateglinide
319,319,319,The serum concentration,increase,Abiraterone,Nebivolol
320,320,320,The serum concentration,increase,Abiraterone,Nefazodone
321,321,321,The serum concentration,increase,Abiraterone,Netupitant
322,322,322,The serum concentration,increase,Abiraterone,Nicardipine
323,323,323,the antihypertensive activities,decrease,Acebutolol,Aceclofenac
324,324,324,The therapeutic efficacy,decrease,Acebutolol,Acemetacin
325,325,325,the hypoglycemic activities,increase,Acebutolol,Acetohexamide
326,326,326,The risk or severity of adverse effects,increase,Acebutolol,Acetylcholine
327,327,327,the antihypertensive activities,decrease,Acebutolol,Acetylsalicylicacid
328,328,328,the bradycardic activities,increase,Acebutolol,Alfentanil
329,329,329,the hypotensive activities,increase,Acebutolol,Alfuzosin
330,330,330,the hypotensive activities,increase,Acebutolol,Alimemazine
331,331,331,the hypotensive activities,increase,Acebutolol,Aliskiren
332,332,332,the hypotensive activities,increase,Acebutolol,Alprenolol
333,333,333,the bradycardic activities,increase,Acebutolol,Ambenonium
334,334,334,the hypotensive activities,increase,Acebutolol,Ambrisentan
335,335,335,the hypotensive activities,increase,Acebutolol,Amifostine
336,336,336,The risk or severity of adverse effects,increase,Acebutolol,Amiloride
337,337,337,the bronchodilatory activities,decrease,Acebutolol,Aminophylline
338,338,338,The therapeutic efficacy,increase,Acebutolol,Amiodarone
339,339,339,the hypotensive activities,increase,Acebutolol,Amlodipine
340,340,340,The serum concentration,decrease,Acebutolol,Amobarbital
341,341,341,The metabolism,decrease,Acebutolol,Amodiaquine
342,342,342,The risk or severity of adverse effects,increase,Acebutolol,Amphetamine
343,343,343,The risk or severity of adverse effects,increase,Acebutolol,Amylnitrite
344,344,344,the antihypertensive activities,decrease,Acebutolol,Antipyrine
345,345,345,The serum concentration,decrease,Acebutolol,Apalutamide
346,346,346,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Apomorphine
347,347,347,the antihypertensive activities,decrease,Acebutolol,Apremilast
348,348,348,the bronchodilatory activities,decrease,Acebutolol,Arformoterol
349,349,349,the hypotensive activities,increase,Acebutolol,Aripiprazole
350,350,350,The risk or severity of adverse effects,increase,Acebutolol,Arsenictrioxide
351,351,351,the hypertensive activities,increase,Acebutolol,Atomoxetine
352,352,352,the antihypertensive activities,increase,Acebutolol,Avanafil
353,353,353,the antihypertensive activities,decrease,Acebutolol,Azelastine
354,354,354,the antihypertensive activities,decrease,Acebutolol,Balsalazide
355,355,355,the bronchodilatory activities,decrease,Acebutolol,Bambuterol
356,356,356,the hypotensive activities,increase,Acebutolol,Benazepril
357,357,357,the hypotensive activities,increase,Acebutolol,Bendroflumethiazide
358,358,358,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Benzphetamine
359,359,359,the hypotensive activities,increase,Acebutolol,Bepridil
360,360,360,the hypotensive activities,increase,Acebutolol,Betaxolol
361,361,361,the hypotensive activities,increase,Acebutolol,Bisoprolol
362,362,362,The risk or severity of adverse effects,increase,Acebutolol,Bortezomib
363,363,363,the hypotensive activities,increase,Acebutolol,Bosentan
364,364,364,the antihypertensive activities,increase,Acebutolol,Brimonidine
365,365,365,the antihypertensive activities,decrease,Acebutolol,Bromfenac
366,366,366,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Bromocriptine
367,367,367,The risk or severity of adverse effects,increase,Acebutolol,Bumetanide
368,368,368,The serum concentration,increase,Acebutolol,Bupivacaine
369,369,369,the vasoconstricting activities,increase,Acebutolol,Cabergoline
370,370,370,The risk or severity of adverse effects,increase,Acebutolol,Canagliflozin
371,371,371,the hypotensive activities,increase,Acebutolol,Candesartancilexetil
372,372,372,the hypotensive activities,increase,Acebutolol,Captopril
373,373,373,The risk or severity of adverse effects,increase,Acebutolol,Carbachol
374,374,374,the hypotensive activities,increase,Acebutolol,Carteolol
375,375,375,the orthostatic hypotensive activities,increase,Acebutolol,Carvedilol
376,376,376,the antihypertensive activities,decrease,Acebutolol,Celecoxib
377,377,377,The risk or severity of adverse effects,increase,Acebutolol,Celiprolol
378,378,378,the bradycardic activities,increase,Acebutolol,Ceritinib
379,379,379,The risk or severity of adverse effects,increase,Acebutolol,Cevimeline
380,380,380,The metabolism,decrease,Acebutolol,Chloroquine
381,381,381,the hypotensive activities,increase,Acebutolol,Chlorpromazine
382,382,382,the hypoglycemic activities,increase,Acebutolol,Chlorpropamide
383,383,383,The risk or severity of adverse effects,increase,Acebutolol,Cilnidipine
384,384,384,The risk or severity of adverse effects,increase,Acebutolol,Clenbuterol
385,385,385,The risk or severity of adverse effects,increase,Acebutolol,Clevidipine
386,386,386,The risk or severity of adverse effects,increase,Acebutolol,Clofarabine
387,387,387,The risk or severity of adverse effects,increase,Acebutolol,Clomipramine
388,388,388,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Clonidine
389,389,389,The risk or severity of adverse effects,increase,Acebutolol,Clozapine
390,390,390,The risk or severity of adverse effects,increase,Acebutolol,Conivaptan
391,391,391,the bradycardic activities,increase,Acebutolol,Crizotinib
392,392,392,The risk or severity of adverse effects,increase,Acebutolol,Dapagliflozin
393,393,393,the hypotensive activities,increase,Acebutolol,Debrisoquin
394,394,394,the bradycardic activities,increase,Acebutolol,Decamethonium
395,395,395,The serum concentration,increase,Acebutolol,Desvenlafaxine
396,396,396,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Dexmedetomidine
397,397,397,the hypotensive activities,increase,Acebutolol,Diazoxide
398,398,398,the antihypertensive activities,decrease,Acebutolol,Diclofenac
399,399,399,The risk or severity of adverse effects,increase,Acebutolol,Diclofenamide
400,400,400,the antihypertensive activities,decrease,Acebutolol,Diflunisal
401,401,401,the bradycardic activities,increase,Acebutolol,Digitoxin
402,402,402,the bradycardic activities,increase,Acebutolol,Digoxin
403,403,403,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Dihydroergotamine
404,404,404,the hypotensive activities,increase,Acebutolol,Diltiazem
405,405,405,the bradycardic activities,increase,Acebutolol,Disopyramide
406,406,406,The risk or severity of adverse effects,increase,Acebutolol,Dobutamine
407,407,407,the bradycardic activities,increase,Acebutolol,Donepezil
408,408,408,The risk or severity of adverse effects,increase,Acebutolol,Dopamine
409,409,409,the hypotensive activities,increase,Acebutolol,Dorzolamide
410,410,410,the orthostatic hypotensive activities,increase,Acebutolol,Doxazosin
411,411,411,the tachycardic activities,increase,Acebutolol,Dronabinol
412,412,412,the bradycardic activities,increase,Acebutolol,Dronedarone
413,413,413,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Droxidopa
414,414,414,the orthostatic hypotensive activities,increase,Acebutolol,Duloxetine
415,415,415,the hypotensive activities,increase,Acebutolol,Efonidipine
416,416,416,the hypotensive activities,increase,Acebutolol,Enalapril
417,417,417,The risk or severity of adverse effects,increase,Acebutolol,Ephedrine
418,418,418,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Epinephrine
419,419,419,The risk or severity of adverse effects,increase,Acebutolol,Eplerenone
420,420,420,the hypotensive activities,increase,Acebutolol,Epoprostenol
421,421,421,the hypotensive activities,increase,Acebutolol,Eprosartan
422,422,422,the vasoconstricting activities,increase,Acebutolol,Ergonovine
423,423,423,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Ergotamine
424,424,424,The risk or severity of adverse effects,increase,Acebutolol,Etacrynicacid
425,425,425,the antihypertensive activities,decrease,Acebutolol,Etodolac
426,426,426,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Etomidate
427,427,427,the antihypertensive activities,decrease,Acebutolol,Etoricoxib
428,428,428,the hypotensive activities,increase,Acebutolol,Felodipine
429,429,429,the bradycardic activities,increase,Acebutolol,Fentanyl
430,430,430,The serum concentration of the active metabolites,increase,Acebutolol,Fesoterodine
431,431,431,the bradycardic activities,increase,Fingolimod,Acebutolol
432,432,432,The serum concentration,increase,Fluoxetine,Acebutolol
433,433,433,the hypotensive activities,increase,Fluphenazine,Acebutolol
434,434,434,the antihypertensive activities,decrease,Flurbiprofen,Acebutolol
435,435,435,the bronchodilatory activities,decrease,Formoterol,Acebutolol
436,436,436,The risk or severity of adverse effects,increase,Furosemide,Acebutolol
437,437,437,the bradycardic activities,increase,Galantamine,Acebutolol
